ind,I_I,I_IF,I_p-Value,I_Significance,D_D,D_DF,D_p-Value,D_Significance,F_F,F_FF,F_p-Value,F_Significance,label
1,0.00908872694940176,1.23428144559803,0.00932400932400933,2,0.334712413533038,45.6053009515233,0.000999000999000999,3,0.00737291044151958,38.9067458035919,0.000999000999000999,3,L bankssts
2,0.00519503215972609,2.11925515949198,0.000999000999000999,3,0.223795657464539,91.6419096480851,0.000999000999000999,3,0.00244617577460762,15.550198162724,0.000999000999000999,3,L caudalanteriorcingulate
3,0.0109968603041725,1.28969335219766,0.000999000999000999,3,0.0363979210915001,4.26005805546834,0.000999000999000999,3,0.00852771035282734,49.5654951787458,0.000999000999000999,3,L caudalmiddlefrontal
5,0.0110850613107784,1.60823669424669,0.000999000999000999,3,0.0747903573837047,10.8405564465147,0.000999000999000999,3,0.0068915734780363,24.0546445139313,0.000999000999000999,3,L cuneus
6,0.00534356356179949,1.64957211368,0.000999000999000999,3,0.110580170336838,34.013686278584,0.000999000999000999,3,0.00324529783592204,6.02441467627154,0.000999000999000999,3,L entorhinal
7,0.0088193872035291,1.77935333555685,0.000999000999000999,3,0.0937503816298195,18.9272131583557,0.000999000999000999,3,0.00495595924445102,17.6353514090847,0.000999000999000999,3,L fusiform
8,0.0154218887930899,1.33617213474387,0.000999000999000999,3,0.393282704308023,34.0674905192303,0.000999000999000999,3,0.0115440110372684,47.1778180939487,0.000999000999000999,3,L inferiorparietal
9,0.0097561086606123,1.48088930741725,0.000999000999000999,3,0.335843744274999,50.96130643118,0.000999000999000999,3,0.00659013040532022,23.8411962417497,0.000999000999000999,3,L inferiortemporal
10,0.00306959192348032,2.11488589302535,0.000999000999000999,3,0.0544109184026939,37.5790463303661,0.000999000999000999,3,0.00145203525288081,8.3996065215529,0.000999000999000999,3,L isthmuscingulate
11,0.0138206592013349,1.4408166397198,0.000999000999000999,3,0.227001821937349,23.6527595921186,0.000999000999000999,3,0.00960998853051252,29.6162006546508,0.000999000999000999,3,L lateraloccipital
12,0.00387675912394199,1.67276089810573,0.000999000999000999,3,0.0615355261891322,26.6003990476922,0.000999000999000999,3,0.00231653011070151,7.87587808175029,0.000999000999000999,3,L lateralorbitofrontal
13,0.00901344928183426,1.69446079326656,0.000999000999000999,3,0.0405065177778416,7.61716410809503,0.000999000999000999,3,0.00532072180745857,17.5473610754212,0.000999000999000999,3,L lingual
14,0.00432126958277932,1.58866527206666,0.000999000999000999,3,0.0897001992945887,33.075294600466,0.000999000999000999,3,0.00271859444287126,4.17678312396253,0.000999000999000999,3,L medialorbitofrontal
15,0.00972372429343829,1.3099815655213,0.000999000999000999,3,0.460471462446995,62.0608739117204,0.000999000999000999,3,0.00742221130048377,28.9218710227862,0.000999000999000999,3,L middletemporal
16,0.0031971120254352,2.06737903912747,0.000999000999000999,3,0.0255457104515339,16.5506208436663,0.000999000999000999,3,0.00154565125493788,4.79372698702673,0.000999000999000999,3,L parahippocampal
17,0.00574263077161186,1.62753292509209,0.000999000999000999,3,0.0410596099895857,11.7193685288765,0.000999000999000999,3,0.00353574292433299,25.1881999040626,0.000999000999000999,3,L paracentral
18,0.00775912139792141,1.36710550726422,0.000999000999000999,3,0.0550335972871539,9.75225467271934,0.000999000999000999,3,0.00567912804167648,32.5107322849596,0.000999000999000999,3,L parsopercularis
19,0.00694637030482155,1.57023387079809,0.000999000999000999,3,0.0574733495856695,13.1636907821528,0.000999000999000999,3,0.0044338649208308,18.4155699641875,0.000999000999000999,3,L parsorbitalis
20,0.00750580108027104,1.34466041141908,0.000999000999000999,3,0.0626008649018197,11.220255270839,0.00532800532800533,2,0.00558432873029413,32.0580792577138,0.000999000999000999,3,L parstriangularis
21,0.00970064221792193,1.9713448423938,0.000999000999000999,3,0.0846978742367639,17.2382651558904,0.000999000999000999,3,0.00492441489263874,19.6556943042387,0.000999000999000999,3,L pericalcarine
22,0.00551584805457046,1.46564985663132,0.000999000999000999,3,0.109299162383193,29.0479349643754,0.000999000999000999,3,0.00376403609968073,32.5675919233119,0.000999000999000999,3,L postcentral
23,0.00480722526797537,2.32861344456259,0.000999000999000999,3,0.109816744683932,53.4435971020878,0.000999000999000999,3,0.00206197899448545,20.0974309863048,0.000999000999000999,3,L posteriorcingulate
24,0.00553972592772859,1.39629627982103,0.000999000999000999,3,0.0567873290263757,14.2939936446827,0.000999000999000999,3,0.00396824634531392,32.1015971301623,0.000999000999000999,3,L precentral
25,0.0073812305286271,1.68743887061984,0.000999000999000999,3,0.0735836398274322,16.8232352960836,0.000999000999000999,3,0.00437366983710845,27.389816770268,0.000999000999000999,3,L precuneus
26,0.00561416396231096,1.67887537272146,0.000999000999000999,3,0.211150544411463,63.2759452748665,0.000999000999000999,3,0.00334116156544384,12.830798533584,0.000999000999000999,3,L rostralanteriorcingulate
27,0.0102735555871392,1.34847778273924,0.000999000999000999,3,0.0651420960207192,8.52295374120676,0.000999000999000999,3,0.00763816565962531,23.4612491409566,0.000999000999000999,3,L rostralmiddlefrontal
28,0.00802883601467291,1.50842019191368,0.000999000999000999,3,0.0686677759386952,12.8982084095919,0.000999000999000999,3,0.00532590414510043,23.4016993015204,0.000999000999000999,3,L superiorfrontal
29,0.0114979248351709,1.43949515743941,0.000999000999000999,3,0.150869677484903,18.8638774088058,0.000999000999000999,3,0.00799998510004753,33.850704261199,0.000999000999000999,3,L superiorparietal
30,0.00566403317714451,1.5296892886946,0.000999000999000999,3,0.296550605895965,80.3781368541502,0.000999000999000999,3,0.00370920396280089,17.0878189349903,0.000999000999000999,3,L superiortemporal
