ind,I_I,I_IF,I_p-Value,I_Significance,D_D,D_DF,D_p-Value,D_Significance,F_F,F_FF,F_p-Value,F_Significance,label
1,0.0103247780075732,1.33656390188161,0.0684301873323368,0.489887640449438,0.339732152380836,44.0987494162439,0.000999072409241217,3,0.00788065859900237,38.1513126171083,0.000999000999000997,3,L bankssts
2,0.00579796720486022,2.18987818947945,0.00351529321485073,2.70909090909091,0.187361846075144,75.0995381441812,0.00106737231075625,3,0.00290308607485449,23.0970795455104,0.000999000999001,3,L caudalanteriorcingulate
3,0.0106909771646157,1.32555352136616,0.0694814729256709,0.468956406869221,0.0412644630497072,5.19022500872924,0.166935736938318,0.126816380449141,0.00807766171630825,47.4656306524603,0.000999000999000995,3,L caudalmiddlefrontal
5,0.0113460082578992,1.72539628613461,0.0443582313779739,1.39830508474576,0.0794876364185493,12.3708457252315,0.0614313192021844,1.1638418079096,0.00736422643032203,26.2669335544018,0.000999000999000998,3,L cuneus
6,0.00504215858046056,1.99796308228353,0.00389157193931915,2.63157894736842,0.10734248265023,40.4012597430694,0.00152171286552685,3,0.00262550171269413,7.0100564765927,0.000999000999001,3,L entorhinal
7,0.00915268414982815,1.94165318802159,0.0115137645088416,2.28571428571429,0.108005068814841,20.563488420057,0.0657681016651705,1.27896512935883,0.00523887805565644,19.4892853199013,0.000999000999000995,3,L fusiform
8,0.0149812088627198,1.37240985849223,0.051100361484252,0.748201438848921,0.37737077467375,34.6194476446895,0.00207256899747611,2.89988009592326,0.0110725932387717,46.7129283791933,0.000999000999001005,3,L inferiorparietal
9,0.00972585025387137,1.52183972927147,0.0278796821222071,1.60231213872832,0.307929085380355,44.9495502985941,0.00328129377571102,2.80346820809249,0.00672830090028912,27.2131980106568,0.000999000999000995,3,L inferiortemporal
10,0.00339380839490498,2.05066521533066,0.00124974476152904,2.96495327102804,0.0595294758690091,37.1418395260178,0.00392694812418752,2.84579439252336,0.00174766615875283,12.2088731240981,0.000999000999000997,3,L isthmuscingulate
11,0.0130504356310302,1.40771643421019,0.0201842185442655,1.47603305785124,0.238355831625172,25.7738103161548,0.00835799745536253,2.50826446280992,0.00933188342814458,33.477517070764,0.000999000999000999,3,L lateraloccipital
12,0.00383854134150345,1.63795672215766,0.00787440480679978,2.33416149068323,0.0564528640403026,26.6933509663447,0.0106192190373876,2.25093167701863,0.0023964051339402,11.471167108561,0.000999000999000995,3,L lateralorbitofrontal
13,0.00835293782319537,1.80818302806545,0.0121858959151838,2.53482880755608,0.0355086987743883,10.1077811691223,0.0911657965710958,0.953955135773318,0.00505436115707701,17.4849645106404,0.000999001396165071,3,L lingual
14,0.00438008984112929,1.6045363643154,0.0139194746808626,2.17196261682243,0.110847810238185,38.7782801376878,0.00532614489414285,2.70093457943925,0.00279287220563841,7.23773894653627,0.000999000999000996,3,L medialorbitofrontal
15,0.00977782609315577,1.42168528179761,0.0350049910448412,1.22198041349293,0.403577571799216,60.054134867011,0.0009997740130886,3,0.00707093756064045,29.8172301907062,0.000999000999000995,3,L middletemporal
16,0.00364156017620218,2.22391853691754,0.00128115498243802,2.9746835443038,0.025010972473179,15.4641380659321,0.0469006667985963,1.68354430379747,0.00161983141797975,6.55499948302884,0.000999100333447034,3,L parahippocampal
17,0.00525664768972178,1.63319804771216,0.00692302634625049,2.52222222222222,0.0416470199378724,13.9776836649128,0.0657125589974585,0.526984126984127,0.0032699301083429,29.6654471388615,0.000999000999000996,3,L paracentral
18,0.00685762851503495,1.3955922416144,0.0532504117853681,0.976666666666667,0.0373625466617939,8.66128016133156,0.151301203496878,0.686666666666667,0.00510477521328239,30.6454952901195,0.000999000999000996,3,L parsopercularis
19,0.00669158123962574,1.46836576032102,0.0176239743824572,1.81656804733728,0.0463167201361942,10.774260228764,0.0366081887016888,1.42603550295858,0.00463940617165034,21.6235738930713,0.000999000999001,3,L parsorbitalis
20,0.00615059732881023,1.38484667774286,0.0877113991549679,0.898550724637681,0.0573323646898392,16.4220608884956,0.034048799608445,1.66425120772947,0.00481997821194057,30.8445991931177,0.000999000999000997,3,L parstriangularis
21,0.00939828187658209,1.98747721570434,0.0153673931513738,2.0387811634349,0.0711644943480397,14.5969220672234,0.0339495313222855,1.73961218836565,0.00518145564031703,21.2246903720431,0.000999000999000998,3,L pericalcarine
22,0.00639976140228119,1.4175758856644,0.0521307134523413,1.16318887105404,0.120215348952882,26.7875604286973,0.0293117373309438,2.11931514178705,0.00464656681006732,39.913272456748,0.000999000999001007,3,L postcentral
23,0.00549978663779131,2.35367107364656,0.00165167385341872,2.94192377495463,0.0952067334819295,44.6305369321831,0.00921612248595621,2.42468239564428,0.00262199119285216,23.3747355318187,0.000999000999000996,3,L posteriorcingulate
24,0.00531764328381629,1.47649819552188,0.0320867040358173,1.48816120906801,0.0590894485191628,19.9063791944705,0.0682617455668126,1.50629722921914,0.00374941445590558,36.9147343457327,0.000999000999001008,3,L precentral
25,0.00804473412460181,1.72287756765276,0.00962152820734899,2.20325203252033,0.0871086949410158,18.6764085328147,0.0260304614416402,1.99525745257453,0.00499517845038354,29.6099907023299,0.000999000999001003,3,L precuneus
26,0.00580445721804197,1.60424493189408,0.0380024847129373,1.30693069306931,0.201470448710978,61.6568761771869,0.00342781229752025,2.76732673267327,0.00376165481473541,15.4550695868725,0.000999000999001,3,L rostralanteriorcingulate
27,0.0102136863961936,1.35351757999189,0.0559816914331194,0.744036105738233,0.0597234944308717,8.45333091081959,0.0961005320955893,0.548678272082527,0.00761636233628285,25.7099430616101,0.000999000999001004,3,L rostralmiddlefrontal
