                                                   p1                                                    p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par28.sumstats.gz  1.0340  0.2415   4.2814   1.8571e-05  0.0458     0.0236  1.0036     0.0059    0.1769       0.0042
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par29.sumstats.gz  0.8069  0.1025   7.8752   3.4021e-15  0.0846     0.0207  0.9980     0.0054    0.1545       0.0037
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par30.sumstats.gz  0.9730  0.2251   4.3222   1.5451e-05  0.0468     0.0239  1.0081     0.0063    0.0963       0.0038
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par31.sumstats.gz  0.7280  0.0972   7.4931   6.7265e-14  0.0802     0.0227  0.9971     0.0057    0.1153       0.0040
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  0.6420  0.0537  11.9471   6.7227e-33  0.2120     0.0276  1.0053     0.0061    0.1532       0.0040
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  0.9157  0.0362  25.2933  3.7874e-141  0.2349     0.0261  0.9894     0.0061    0.4956       0.0053
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par05.sumstats.gz  0.9688  0.0491  19.7335   1.1128e-86  0.1285     0.0232  0.9993     0.0056    0.5718       0.0053
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par06.sumstats.gz  0.6522  0.0506  12.8876   5.2849e-38  0.1995     0.0279  1.0035     0.0062    0.1512       0.0042
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par07.sumstats.gz  0.7356  0.0841   8.7470   2.1910e-18  0.1076     0.0252  1.0032     0.0058    0.1647       0.0037
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par08.sumstats.gz  0.8800  0.0425  20.6962   3.7513e-95  0.2007     0.0248  0.9882     0.0064    0.4130       0.0052
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par09.sumstats.gz  0.8191  0.0520  15.7566   6.1888e-56  0.1818     0.0252  0.9993     0.0062    0.2825       0.0049
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par10.sumstats.gz  0.9920  0.1046   9.4862   2.3972e-21  0.0784     0.0247  0.9993     0.0064    0.3743       0.0050
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par11.sumstats.gz  0.9553  0.0813  11.7523   6.8747e-32  0.0858     0.0233  1.0019     0.0059    0.4332       0.0050
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par12.sumstats.gz  0.6281  0.0619  10.1430   3.5617e-24  0.1533     0.0273  1.0061     0.0066    0.1513       0.0043
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par13.sumstats.gz  0.7486  0.0466  16.0663   4.3977e-58  0.2237     0.0259  1.0054     0.0064    0.1418       0.0035
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par14.sumstats.gz  0.7420  0.0978   7.5866   3.2831e-14  0.0813     0.0223  1.0054     0.0057    0.1603       0.0035
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par15.sumstats.gz  0.7734  0.1008   7.6753   1.6506e-14  0.0942     0.0249  1.0005     0.0063    0.1487       0.0040
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par16.sumstats.gz  0.9101  0.0736  12.3681   3.8871e-35  0.1003     0.0239  0.9943     0.0065    0.2731       0.0046
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par17.sumstats.gz  0.8257  0.0555  14.8880   3.9438e-50  0.1605     0.0236  0.9943     0.0065    0.3653       0.0048
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par18.sumstats.gz  0.8074  0.0552  14.6360   1.6551e-48  0.1522     0.0244  0.9992     0.0065    0.2761       0.0048
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par19.sumstats.gz  0.7374  0.0635  11.6115   3.6032e-31  0.1443     0.0273  1.0035     0.0064    0.1867       0.0043
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par20.sumstats.gz  1.1940  0.4601   2.5954   9.4475e-03  0.0258     0.0245  1.0085     0.0064    0.3176       0.0046
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par21.sumstats.gz  0.8212  0.0913   8.9935   2.3955e-19  0.0810     0.0219  0.9973     0.0058    0.2818       0.0046
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par22.sumstats.gz  1.3737  0.4386   3.1322   1.7351e-03  0.0279     0.0224  1.0082     0.0056    0.4049       0.0048
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par23.sumstats.gz  0.7216  0.0612  11.7976   4.0156e-32  0.1333     0.0260  0.9866     0.0062    0.2577       0.0041
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par24.sumstats.gz  0.6798  0.0650  10.4570   1.3614e-25  0.1346     0.0276  1.0065     0.0061    0.1398       0.0039
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par25.sumstats.gz  0.7450  0.1035   7.2006   5.9957e-13  0.0714     0.0214  0.9982     0.0060    0.1501       0.0037
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par26.sumstats.gz  0.7250  0.0605  11.9804   4.5019e-33  0.1529     0.0241  1.0086     0.0060    0.1410       0.0036
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par27.sumstats.gz  0.7158  0.0526  13.6012   3.9388e-42  0.2034     0.0262  1.0008     0.0067    0.1337       0.0033
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par28.sumstats.gz  0.8374  0.1999   4.1901   2.7888e-05  0.0458     0.0236  1.0036     0.0059    0.1521       0.0036
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par29.sumstats.gz  0.7037  0.0933   7.5450   4.5228e-14  0.0846     0.0207  0.9980     0.0054    0.1486       0.0033
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par30.sumstats.gz  0.9913  0.2194   4.5175   6.2579e-06  0.0468     0.0239  1.0081     0.0063    0.1221       0.0034
 ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par31.sumstats.gz  0.6807  0.1020   6.6749   2.4734e-11  0.0802     0.0227  0.9971     0.0057    0.1557       0.0041
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  0.6639  0.0509  13.0354   7.6938e-39  0.2349     0.0261  0.9894     0.0061    0.1969       0.0039
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par05.sumstats.gz  0.6909  0.0686  10.0723   7.3237e-24  0.1285     0.0232  0.9993     0.0056    0.1637       0.0040
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par06.sumstats.gz  0.9801  0.0328  29.9031  1.7932e-196  0.1995     0.0279  1.0035     0.0062    0.6432       0.0057
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par07.sumstats.gz  0.9198  0.0566  16.2430   2.5024e-59  0.1076     0.0252  1.0032     0.0058    0.5380       0.0054
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par08.sumstats.gz  0.6738  0.0585  11.5145   1.1153e-30  0.2007     0.0248  0.9882     0.0064    0.2021       0.0040
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par09.sumstats.gz  0.6475  0.0554  11.6848   1.5236e-31  0.1818     0.0252  0.9993     0.0062    0.1675       0.0038
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par10.sumstats.gz  0.7003  0.1015   6.8972   5.3054e-12  0.0784     0.0247  0.9993     0.0064    0.1755       0.0038
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par11.sumstats.gz  0.7883  0.0963   8.1875   2.6667e-16  0.0858     0.0233  1.0019     0.0059    0.1675       0.0040
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par12.sumstats.gz  0.9480  0.0424  22.3624  9.1542e-111  0.1533     0.0273  1.0061     0.0066    0.5909       0.0056
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par13.sumstats.gz  0.8442  0.0463  18.2523   1.9840e-74  0.2237     0.0259  1.0054     0.0064    0.2839       0.0044
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par14.sumstats.gz  0.9611  0.0812  11.8353   2.5631e-32  0.0813     0.0223  1.0054     0.0057    0.4820       0.0050
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par15.sumstats.gz  0.7347  0.0807   9.1070   8.4663e-20  0.0942     0.0249  1.0005     0.0063    0.3087       0.0047
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par16.sumstats.gz  0.7316  0.0786   9.3084   1.2981e-20  0.1003     0.0239  0.9943     0.0065    0.1937       0.0037
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par17.sumstats.gz  0.6358  0.0651   9.7638   1.6100e-22  0.1605     0.0236  0.9943     0.0065    0.1918       0.0037
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par18.sumstats.gz  0.6365  0.0612  10.3935   2.6529e-25  0.1522     0.0244  0.9992     0.0065    0.1635       0.0036
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par19.sumstats.gz  0.6248  0.0670   9.3283   1.0762e-20  0.1443     0.0273  1.0035     0.0064    0.1624       0.0036
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par20.sumstats.gz  1.1298  0.4806   2.3508   1.8733e-02  0.0258     0.0245  1.0085     0.0064    0.1569       0.0033
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par21.sumstats.gz  0.6012  0.0853   7.0466   1.8337e-12  0.0810     0.0219  0.9973     0.0058    0.1840       0.0035
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par22.sumstats.gz  1.0610  0.3641   2.9138   3.5710e-03  0.0279     0.0224  1.0082     0.0056    0.1756       0.0037
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par23.sumstats.gz  0.6661  0.0650  10.2427   1.2762e-24  0.1333     0.0260  0.9866     0.0062    0.1650       0.0037
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par24.sumstats.gz  0.9036  0.0514  17.5780   3.6321e-69  0.1346     0.0276  1.0065     0.0061    0.4803       0.0055
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par25.sumstats.gz  1.0501  0.1068   9.8289   8.4548e-23  0.0714     0.0214  0.9982     0.0060    0.4064       0.0046
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par26.sumstats.gz  0.6694  0.0644  10.3889   2.7854e-25  0.1529     0.0241  1.0086     0.0060    0.2096       0.0038
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par27.sumstats.gz  0.8484  0.0490  17.3159   3.5698e-67  0.2034     0.0262  1.0008     0.0067    0.2805       0.0043
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par28.sumstats.gz  0.9952  0.1769   5.6261   1.8429e-08  0.0458     0.0236  1.0036     0.0059    0.3949       0.0049
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par29.sumstats.gz  0.8686  0.0856  10.1512   3.2747e-24  0.0846     0.0207  0.9980     0.0054    0.3570       0.0042
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par30.sumstats.gz  0.8109  0.1590   5.1009   3.3799e-07  0.0468     0.0239  1.0081     0.0063    0.2574       0.0041
 ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par31.sumstats.gz  0.7132  0.0854   8.3496   6.8485e-17  0.0802     0.0227  0.9971     0.0057    0.2720       0.0043
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par05.sumstats.gz  0.7003  0.0667  10.4924   9.3666e-26  0.1285     0.0232  0.9993     0.0056    0.1761       0.0037
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par06.sumstats.gz  0.7244  0.0438  16.5485   1.6408e-61  0.1995     0.0279  1.0035     0.0062    0.2181       0.0037
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par07.sumstats.gz  0.6930  0.0706   9.8218   9.0718e-23  0.1076     0.0252  1.0032     0.0058    0.1983       0.0034
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par08.sumstats.gz  0.9830  0.0254  38.6328   0.0000e+00  0.2007     0.0248  0.9882     0.0064    0.6947       0.0059
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par09.sumstats.gz  0.8549  0.0413  20.6740   5.9414e-95  0.1818     0.0252  0.9993     0.0062    0.4195       0.0052
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par10.sumstats.gz  0.7574  0.1035   7.3147   2.5799e-13  0.0784     0.0247  0.9993     0.0064    0.2066       0.0036
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par11.sumstats.gz  0.7543  0.0940   8.0275   9.9481e-16  0.0858     0.0233  1.0019     0.0059    0.1724       0.0037
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par12.sumstats.gz  0.7175  0.0556  12.9043   4.2542e-38  0.1533     0.0273  1.0061     0.0066    0.2166       0.0040
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par13.sumstats.gz  0.7469  0.0450  16.6008   6.8815e-62  0.2237     0.0259  1.0054     0.0064    0.2091       0.0039
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par14.sumstats.gz  0.6900  0.0820   8.4198   3.7728e-17  0.0813     0.0223  1.0054     0.0057    0.2038       0.0036
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par15.sumstats.gz  0.6888  0.0783   8.7955   1.4244e-18  0.0942     0.0249  1.0005     0.0063    0.1832       0.0039
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par16.sumstats.gz  0.9572  0.0663  14.4468   2.6269e-47  0.1003     0.0239  0.9943     0.0065    0.4360       0.0052
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par17.sumstats.gz  0.9258  0.0381  24.2692  4.1513e-130  0.1605     0.0236  0.9943     0.0065    0.5928       0.0056
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par18.sumstats.gz  0.8818  0.0477  18.4994   2.0882e-76  0.1522     0.0244  0.9992     0.0065    0.4151       0.0053
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par19.sumstats.gz  0.6943  0.0588  11.8153   3.2523e-32  0.1443     0.0273  1.0035     0.0064    0.2675       0.0047
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par20.sumstats.gz  0.8108  0.3191   2.5407   1.1062e-02  0.0258     0.0245  1.0085     0.0064    0.2121       0.0035
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par21.sumstats.gz  0.7301  0.0971   7.5174   5.5878e-14  0.0810     0.0219  0.9973     0.0058    0.1916       0.0040
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par22.sumstats.gz  1.0885  0.3706   2.9369   3.3155e-03  0.0279     0.0224  1.0082     0.0056    0.1823       0.0038
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par23.sumstats.gz  0.6868  0.0620  11.0748   1.6627e-28  0.1333     0.0260  0.9866     0.0062    0.1775       0.0036
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par24.sumstats.gz  0.7074  0.0583  12.1246   7.8284e-34  0.1346     0.0276  1.0065     0.0061    0.2026       0.0038
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par25.sumstats.gz  0.8509  0.1029   8.2655   1.3911e-16  0.0714     0.0214  0.9982     0.0060    0.2149       0.0039
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par26.sumstats.gz  0.7206  0.0575  12.5263   5.3616e-36  0.1529     0.0241  1.0086     0.0060    0.2051       0.0039
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par27.sumstats.gz  0.7057  0.0482  14.6283   1.8538e-48  0.2034     0.0262  1.0008     0.0067    0.2021       0.0037
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par28.sumstats.gz  0.8503  0.1735   4.9018   9.4955e-07  0.0458     0.0236  1.0036     0.0059    0.2081       0.0040
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par29.sumstats.gz  0.6559  0.0816   8.0395   9.0190e-16  0.0846     0.0207  0.9980     0.0054    0.1824       0.0034
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par30.sumstats.gz  0.9592  0.1956   4.9033   9.4247e-07  0.0468     0.0239  1.0081     0.0063    0.1760       0.0034
 ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par31.sumstats.gz  0.5805  0.0755   7.6907   1.4634e-14  0.0802     0.0227  0.9971     0.0057    0.1832       0.0038
 ../results/ldsc/STAGE00DATA/munged/par05.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par06.sumstats.gz  0.6746  0.0654  10.3099  6.3598e-25  0.1995     0.0279  1.0035     0.0062    0.1573       0.0040
