                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  0.9821  0.2089   4.7010   2.5890e-06  0.0484     0.0250  1.0023     0.0062    0.1527       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.7202  0.0725   9.9354   2.9191e-23  0.1396     0.0273  0.9930     0.0064    0.1292       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  0.9519  0.1967   4.8387   1.3070e-06  0.0502     0.0231  0.9947     0.0061    0.1645       0.0042
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  2.0859  2.3139   0.9015   3.6734e-01  0.0097     0.0202  1.0003     0.0054    0.1469       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.5292  1.2294   1.2438   2.1356e-01  0.0141     0.0240  1.0064     0.0061    0.1052       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.8008  0.0921   8.6912   3.5859e-18  0.0992     0.0248  0.9946     0.0064    0.1215       0.0042
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.9033  0.1563   5.7776   7.5796e-09  0.0650     0.0232  1.0020     0.0065    0.1363       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  1.2989  0.7621   1.7044   8.8305e-02  0.0181     0.0224  0.9977     0.0060    0.1027       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.2187  0.4611   2.6433   8.2114e-03  0.0248     0.0204  1.0130     0.0061    0.0897       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.6408  0.0520  12.3280   6.4028e-35  0.1666     0.0242  0.9890     0.0059    0.1296       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.9181  0.0322  28.5432  3.4094e-179  0.1951     0.0262  0.9913     0.0061    0.5370       0.0056
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.9206  0.0339  27.1786  1.1632e-162  0.2173     0.0318  0.9980     0.0065    0.5627       0.0061
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.6595  0.0744   8.8590   8.0751e-19  0.1026     0.0229  0.9931     0.0057    0.1265       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.6662  0.0559  11.9104   1.0446e-32  0.1397     0.0248  0.9943     0.0063    0.1767       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.8360  0.0416  20.0979   7.6925e-90  0.1825     0.0248  0.9941     0.0059    0.3893       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.8555  0.0926   9.2378   2.5166e-20  0.0813     0.0242  0.9995     0.0062    0.3831       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.8676  0.0425  20.4050   1.5083e-92  0.1719     0.0295  0.9954     0.0065    0.4641       0.0061
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.9440  0.0536  17.5988   2.5141e-69  0.1463     0.0264  1.0044     0.0060    0.3826       0.0051
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.6458  0.0717   9.0074   2.1094e-19  0.1170     0.0254  0.9928     0.0062    0.1268       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  0.8007  0.2316   3.4564   5.4746e-04  0.0356     0.0229  1.0002     0.0056    0.1448       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.6334  0.0586  10.8063   3.2150e-27  0.1238     0.0242  0.9943     0.0065    0.1757       0.0038
