Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1919	3	0.703754805181234	1	ENSG00000204291:ENSG00000138080:ENSG00000155926
DEG.up	Adrenal_Gland	1549	0	1	1	
DEG.up	Bladder	843	4	0.0725171329571678	1	ENSG00000084693:ENSG00000138080:ENSG00000044524:ENSG00000119514
DEG.up	Blood	2296	2	0.934770075579741	1	ENSG00000187741:ENSG00000155926
DEG.up	Blood_Vessel	2703	6	0.392895594679482	1	ENSG00000204291:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000167553
DEG.up	Brain	3221	10	0.0735535196432132	1	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000092964:ENSG00000157851:ENSG00000138030:ENSG00000186868:ENSG00000073969:ENSG00000204991
DEG.up	Breast	1978	1	0.978099605520283	1	ENSG00000204291
DEG.up	Cervix_Uteri	3029	6	0.503713031090875	1	ENSG00000204291:ENSG00000138080:ENSG00000044524:ENSG00000120071:ENSG00000139636:ENSG00000158805
DEG.up	Colon	1580	4	0.341490891632995	1	ENSG00000204291:ENSG00000138080:ENSG00000119514:ENSG00000204991
DEG.up	Esophagus	1264	4	0.210225589913617	1	ENSG00000204291:ENSG00000100592:ENSG00000119514:ENSG00000167553
DEG.up	Fallopian_Tube	490	2	0.232817801459064	1	ENSG00000138080:ENSG00000163792
DEG.up	Heart	614	0	1	1	
DEG.up	Kidney	1363	3	0.471146755376143	1	ENSG00000015413:ENSG00000138030:ENSG00000260259
DEG.up	Liver	1536	3	0.552190029158212	1	ENSG00000138030:ENSG00000260259:ENSG00000108379
DEG.up	Lung	4262	3	0.990102432790581	1	ENSG00000138080:ENSG00000260259:ENSG00000155926
DEG.up	Muscle	1143	2	0.634938175028606	1	ENSG00000003249:ENSG00000186868
DEG.up	Nerve	5911	7	0.942934694704138	1	ENSG00000204291:ENSG00000165617:ENSG00000139549:ENSG00000044524:ENSG00000008869:ENSG00000139636:ENSG00000158805
DEG.up	Ovary	5714	14	0.167730165490724	1	ENSG00000084693:ENSG00000221819:ENSG00000138028:ENSG00000204291:ENSG00000165617:ENSG00000140995:ENSG00000138080:ENSG00000141013:ENSG00000120071:ENSG00000139636:ENSG00000258839:ENSG00000127922:ENSG00000163792:ENSG00000158805
DEG.up	Pancreas	747	1	0.756755731634439	1	ENSG00000015413
DEG.up	Pituitary	5188	15	0.0507377916497886	1	ENSG00000185324:ENSG00000177946:ENSG00000178773:ENSG00000120088:ENSG00000157851:ENSG00000141013:ENSG00000139636:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000260259:ENSG00000158792:ENSG00000167523:ENSG00000204991:ENSG00000075399
DEG.up	Prostate	3333	5	0.759860562589337	1	ENSG00000185324:ENSG00000204291:ENSG00000138080:ENSG00000044524:ENSG00000258839
DEG.up	Salivary_Gland	1899	3	0.696877665378254	1	ENSG00000138028:ENSG00000119514:ENSG00000167553
DEG.up	Skin	3140	8	0.229052438360765	1	ENSG00000177946:ENSG00000178773:ENSG00000100592:ENSG00000187741:ENSG00000150556:ENSG00000115808:ENSG00000167553:ENSG00000108379
DEG.up	Small_Intestine	2786	6	0.42138877096404	1	ENSG00000015413:ENSG00000187741:ENSG00000119514:ENSG00000138030:ENSG00000155926:ENSG00000204991
DEG.up	Spleen	4308	9	0.414234163264302	1	ENSG00000185324:ENSG00000015413:ENSG00000138080:ENSG00000187741:ENSG00000139636:ENSG00000155926:ENSG00000163792:ENSG00000075399:ENSG00000158805
DEG.up	Stomach	1109	2	0.618341462875617	1	ENSG00000119514:ENSG00000150556
DEG.up	Testis	12379	24	0.456147568553028	1	ENSG00000143994:ENSG00000084693:ENSG00000260456:ENSG00000186143:ENSG00000177946:ENSG00000178773:ENSG00000165617:ENSG00000139549:ENSG00000015413:ENSG00000157851:ENSG00000187741:ENSG00000141013:ENSG00000120071:ENSG00000139636:ENSG00000150556:ENSG00000258839:ENSG00000126856:ENSG00000260259:ENSG00000127922:ENSG00000167523:ENSG00000204991:ENSG00000163792:ENSG00000075399:ENSG00000108379
DEG.up	Thyroid	5722	18	0.0141598890797377	0.424796672392132	ENSG00000084693:ENSG00000221819:ENSG00000185324:ENSG00000204291:ENSG00000165617:ENSG00000044524:ENSG00000119514:ENSG00000141013:ENSG00000008869:ENSG00000120071:ENSG00000258839:ENSG00000260259:ENSG00000155926:ENSG00000158792:ENSG00000167523:ENSG00000204991:ENSG00000042832:ENSG00000158805
DEG.up	Uterus	5589	10	0.613157901576037	1	ENSG00000084693:ENSG00000138028:ENSG00000204291:ENSG00000120088:ENSG00000138080:ENSG00000044524:ENSG00000120071:ENSG00000138030:ENSG00000139636:ENSG00000163792
