ADHD,ASD,AlzheimersDisease,BipolarDisorderAll,EducationalAttainment,Handedness,Intelligence,LanguageFunctionalConnectivity,MajorDepressiveDisorder,NeuroticismMeasurement,OCD,ParkinsonsDisease,RedHair,Schizophrenia
NaN,NaN,NaN,NaN,0.025316666059664,0.02456000964956,0.0235125587817876,0.0259017174294902,NaN,0.0230624656099056,0.0235615479509043,0.0252975966687062,0.0266472756344441,NaN
NaN,NaN,NaN,NaN,0.025810699343486,0.0246655366417343,0.0262307933469782,0.0254450848304086,NaN,0.0233707660231888,0.0221491290131915,0.025214489097278,0.0254268927173737,NaN
NaN,NaN,NaN,NaN,0.026736149668181,0.0239600542613514,0.0239199737207993,0.0266848309632819,NaN,0.0276497223684818,0.0223809595047473,0.0239282064440783,0.0241980410984554,NaN
NaN,NaN,NaN,NaN,0.0253582854109637,0.0239359650136333,0.0273756815690285,0.0247131161813124,NaN,0.0278321225922614,0.0263435678665429,0.0275684461844115,0.0238963865452082,NaN
NaN,NaN,NaN,NaN,0.0279669897004421,0.0242957443390996,0.0245592523072901,0.0298610597174168,NaN,0.0290568459901145,0.0226570847766145,0.0278262996034904,0.0253922411165161,NaN
NaN,NaN,NaN,NaN,0.0235307344625718,0.0243396176102279,0.0227416867631505,0.0243463734172254,NaN,0.0239230498470454,0.025635180369712,0.0228206207060496,0.0277562911025264,NaN
NaN,NaN,NaN,NaN,0.0248830267024046,0.0264367052857491,0.023777174093091,0.0272501119884971,NaN,0.0268514820301955,0.0260147785727987,0.023353536438737,0.026677067529918,NaN
NaN,NaN,NaN,NaN,0.0239829402927092,0.0235806421696637,0.0246720114061375,0.0268041693657702,NaN,0.0256453649130651,0.0297089655149175,0.0260613597318326,0.025414370730573,NaN
NaN,NaN,NaN,NaN,0.0236812019616375,0.0271020193425751,0.0257226988040919,0.0270932513165171,NaN,0.0237044235616042,0.0278519470054243,0.0272240373679321,0.025812622786469,NaN
NaN,NaN,NaN,NaN,0.0277393427624105,0.0273741323434328,0.0298007287403595,0.0249102272520961,NaN,0.0241459442119741,0.0258972795724869,0.0271702139811529,0.0243023706185018,NaN
NaN,NaN,NaN,NaN,0.0297710121819735,0.0254024465338405,0.0240911661133724,0.0259653268907177,NaN,0.0292183786103678,0.0275668175002514,0.0213918645823728,0.0250318168777206,NaN
NaN,NaN,NaN,NaN,0.0239487181592487,0.0231139648734671,0.0282706290535008,0.0226262711792541,NaN,0.0246759540592993,0.0254931284323095,0.0262311155151162,0.025909869320778,NaN
NaN,NaN,NaN,NaN,0.0289044931594638,0.0266407959395696,0.0246572874562,0.0282580848576052,NaN,0.0266818236452012,0.023888921514069,0.0241809819318837,0.0246721760393734,NaN
NaN,NaN,NaN,NaN,0.0225040222625836,0.0259371172644703,0.0267224949409888,0.0222968847944654,NaN,0.0262724968541359,0.0307473062198487,0.0284683382774805,0.0249425458070732,NaN
NaN,NaN,NaN,NaN,0.0269084601225198,0.0275210818832277,0.0281958444755092,0.0217847057702374,NaN,0.0244833291430911,0.0262879557317709,0.0259114019267897,0.0215145338588656,NaN
NaN,NaN,NaN,NaN,0.0242693015455486,0.0245809438969238,0.0272180824470764,0.0245636374273511,NaN,0.0238432620192995,0.023128395454667,0.0239571653120214,0.0254348417455214,NaN
NaN,NaN,NaN,NaN,0.0237064306411003,0.0271706006584082,0.0267213884840767,0.0246915274702618,NaN,0.0249133740596032,0.0253488188436097,0.0263085143354991,0.026333729667668,NaN
NaN,NaN,NaN,NaN,0.0273262412698835,0.0236821452101257,0.0212418927220292,0.0263455501426072,NaN,0.0246276309141907,0.0291816213530729,0.0241333999238897,0.0250848823324669,NaN
NaN,NaN,NaN,NaN,0.0230680184609884,0.0265951574954496,0.0288654960325484,0.0252915559340498,NaN,0.0263532315203011,0.025076396283509,0.0250099638941322,0.0266759071742449,NaN
NaN,NaN,NaN,NaN,0.0255439633437883,0.0244411548955949,0.0260143929377528,0.0242384937229311,NaN,0.0261284922790977,0.0240675356812124,0.0254623886486732,0.0259148859082565,NaN
NaN,NaN,NaN,NaN,0.026857434320235,0.0271567554203497,0.0250560168498576,0.026358344779856,NaN,0.026582647157208,0.0273251344599083,0.0248120312113496,0.0245515094506001,NaN
NaN,NaN,NaN,NaN,0.0249709727078317,0.0253971664491407,0.0251341715597894,0.0249179660305334,NaN,0.0252204778327872,0.0268480716823618,0.0259503059334006,0.0235939885170038,NaN
NaN,NaN,NaN,NaN,0.0242441222402869,0.0272145953341981,0.0250540250284232,0.0234398432674322,NaN,0.0254265413007766,0.0255874445556701,0.0269092967030848,0.0255973777227744,NaN
NaN,NaN,NaN,NaN,0.0245572186429528,0.0253058159117381,0.0243925956448017,0.0268118757490888,NaN,0.0253067695482717,0.0251870532327409,0.024678097967222,0.0241293851201148,NaN
NaN,NaN,NaN,NaN,0.0250187663005984,0.0261405308674141,0.0245428378819208,0.0256980935529749,NaN,0.0270776711200721,0.0242410614363143,0.026248683065285,0.0244508243570819,NaN
NaN,NaN,NaN,NaN,0.0235118380751976,0.026443845401684,0.0253401843882517,0.0296357182087274,NaN,0.0265565042237673,0.0269956005320983,0.0246218552339927,0.0275332563401502,NaN
NaN,NaN,NaN,NaN,0.0279953641969021,0.0250016364822673,0.0280100251162931,0.0239070274530574,NaN,0.0224522739626567,0.0242229800297032,0.0306999039928087,0.029345777418163,NaN
NaN,NaN,NaN,NaN,0.0266093118969628,0.0262644416302881,0.0256160696093121,0.02485650758592,NaN,0.0262227299863047,0.0266911508579331,0.0277185695351392,0.0268066415256957,NaN
NaN,NaN,NaN,NaN,0.0227334274626142,0.0289210116697822,0.0263854020213071,0.0252657628435758,NaN,0.0206785913683989,0.0263637753829638,0.0278916399725322,0.0272643387233949,NaN
NaN,NaN,NaN,NaN,0.0260016604663603,0.0242781548447775,0.0272624818785687,0.0233526128334597,NaN,0.0237108252054271,0.0221662384147668,0.0280944860632397,0.0306019461431963,NaN
NaN,NaN,NaN,NaN,0.0248526453746703,0.0252566470054371,0.0243257190322327,0.0265164542789489,NaN,0.0239553583222431,0.0273239506419704,0.0243633855987094,0.0276131990779632,NaN
