GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC20,GC21,GC22,GC23,GC24,GC25,GC26,GC27,GC28,GC29,GC30,GC31
0.999616728306839,0.731793751348654,0.509554687179345,0.573247420439071,0.554298645108252,0.422616321526406,0.342137291850128,0.324603368759669,0.439074084835461,0.435084974847478,0.406720512583982,0.30321080207267,0.357624207215009,0.296674092475293,0.232053912020829,0.328037310827796,0.23445218948247,0.378890980812236,0.260010598235443,0.277426286793615,0.356477541534477,0.311994150651804,0.326755119398794,0.197896303093279,0.263070615213751,0.313708500573191,0.157188310081287,0.222526898914859,0.269944655916989,0.146880855596197,0.195487520862228
0.731945064729292,0.999713831388089,0.143165255668207,0.674563706651571,0.726942539114519,0.106492130363172,0.11678530080011,0.457078365579792,0.445064058774693,0.575851526361282,0.515307724723838,0.0782362512480763,0.102466731171776,0.116829758122097,0.0637597240232495,0.435634880223278,0.26454093751308,0.401238790679567,0.247473145786287,0.351114582448623,0.444855609201447,0.346179067916077,0.38790104547854,0.0747945677541372,0.048863046659463,0.101902094736359,0.00778165684392839,0.0999576355044138,0.134703735024608,0.0329369831683929,0.114278562102287
0.511448390291399,0.146208387804389,0.998914452977848,0.126816075507551,0.146774466867713,0.747619034073246,0.589599302987215,-0.0156910370544058,0.14741253509548,0.0967510800406537,0.195560261818678,0.539390000028446,0.486737677824208,0.517698606177617,0.389304702113592,-0.0240274757628352,0.0911497419321542,0.104840626189914,0.118771250823415,0.0915939290966671,0.0457779157643469,0.154954024870905,0.148180399197493,0.340187366887097,0.423085053684045,0.410220205974755,0.278293407759388,0.378783657423418,0.364179427150745,0.2531588065119,0.250680432723352
0.573252947126265,0.67360484674212,0.126017184746181,0.999659255352048,0.234137859148313,0.134109412964226,0.0810365139282677,0.610591144215245,0.605156297558464,0.185789160134542,0.185239762726315,0.076965641479738,0.138223117238509,0.0735193659589392,0.065874149205112,0.609496006765315,0.321388360715495,0.504121567612313,0.368195357826582,0.0927610353923359,0.245721023396174,0.188335926677116,0.120134493558362,0.0722687091568673,0.0812757056990304,0.12706164735103,0.0229677131746876,0.102119362626672,0.0602774031234723,0.00215313231092329,0.091822026855636
0.554582964718198,0.727365147816532,0.142781760469313,0.234149379852868,0.999689164482745,0.0870112285216071,0.115309797231536,0.135641524439133,0.171961917061493,0.744641409435274,0.642005870479647,0.0946450871205025,0.0791312291555506,0.132266262785036,0.0396204547569538,0.138185690187733,0.125053753128572,0.175648075188954,0.108413974878768,0.496186524880049,0.518018239693236,0.366250532857984,0.488859600607448,0.042135442848162,0.0688377539380694,0.0763674182283961,0.030480126886236,0.0803926751888725,0.166809073682525,0.026368942131115,0.063425847096884
0.424289343206056,0.108367363774272,0.743152922215535,0.135100843754457,0.0896864702227377,0.999356811459098,0.139917290687898,0.0217328440047838,0.122654114313835,0.0744617270816206,0.0904890589880392,0.706194359771894,0.561362198353616,0.0946809699498575,0.178449475716509,0.0460104836379581,0.0677152268766049,0.0959997553628169,0.0873340723922875,0.0779951698379421,0.0615633331938116,0.111144341220918,0.050519427321422,0.456831574614138,0.540122286081648,0.47732503869697,0.326826742826584,0.141900436730201,0.0285965424882365,0.0769802099897309,0.132338556730022
0.34158838209077,0.118491360690706,0.593209814583708,0.0817460836716059,0.116243096212716,0.141926627538263,0.999717021424447,-0.047012703659439,0.130106791038802,0.0645049124528047,0.150991816845586,0.0753068225734288,0.19455054419582,0.831993870253703,0.548084515238418,-0.0687486361070666,0.0907548885783288,0.0803466736454638,0.148319013388806,0.0596258839143737,0.0127991370240496,0.103994088070199,0.16953557947112,0.0918141228802005,0.033562758580893,0.168705844918719,0.0908019670129922,0.542875815745125,0.608910177922754,0.402796605313666,0.364281528632913
0.324556270006303,0.455850811142939,-0.0148057308495209,0.610628510309913,0.133914902021183,0.023873724137847,-0.0492898410142771,0.999441560768974,0.158808909507406,0.12025392689412,0.0745624265732873,0.0939741025940075,0.0422261049005867,-0.0382870805152986,0.0051922616626307,0.785327255061084,0.429368571924348,0.184803479537237,0.0729384745611871,0.0695387695074787,0.156045383042092,0.126357319833045,0.0175660672784764,0.0804009855383664,0.0946018692393937,0.0587572390458825,-0.0339227044031036,0.01019316178117,-0.03201479851771,0.0247854446565266,0.0105596299070176
0.43774428668552,0.442292140685074,0.150170534873599,0.603832859162536,0.171820742713612,0.123705139859728,0.131597574271971,0.158318863030405,0.999725006674694,0.0975712038465743,0.156328199068022,0.0842982549891559,0.0803757700280439,0.108945634059348,0.0992348382854753,0.135198617352904,0.112685596112138,0.781465157285047,0.571960901126347,0.05282419811223,0.183769095009036,0.110340675564362,0.141853155108508,0.0811049473196989,0.0802342705809158,0.0566348286137728,0.0347024143089182,0.0923232486192425,0.11865594218435,0.00921006165913588,0.126729619426631
0.436177531822137,0.576633410368309,0.0941209864974092,0.185814721062814,0.74555101680885,0.0726832106964154,0.0649787242861735,0.119368315908691,0.0982595202266592,0.999688595559063,0.217878934666024,0.0607233580151391,0.0562676899707289,0.0614676930591717,0.0661642799640928,0.129346201032434,0.0787425323687097,0.134107543643558,0.00568527467025793,0.545090899781249,0.693094749769078,0.144308751631084,0.152657970803649,0.0373953739189942,0.038481449227422,0.0763996030538198,0.0149841900172587,0.085976193794912,0.0658426552155875,0.0357288542242787,0.0701229728538065
