pGC1,pGC2,pGC3,pGC4,pGC5,pGC6,pGC7,pGC8,pGC9,pGC10,pGC11,pGC12,pGC13,pGC14,pGC15,pGC16,pGC17,pGC18,pGC19,pGC20,pGC21,pGC22,pGC23,pGC24,pGC25,pGC26,pGC27,pGC28,pGC29,pGC30,pGC31
0,1.00579202733173e-296,5.19076437005344e-78,9.31085609556867e-150,9.2837889952189e-73,7.59364458348035e-52,3.50040296171961e-28,1.35482853172091e-23,2.8859464147446e-42,3.11401059325226e-37,1.81914092383267e-51,4.76194209083634e-20,2.60064679417012e-32,3.98483285055065e-17,1.99871354622597e-12,7.06629393237214e-24,3.41348685132743e-11,5.98843876319212e-32,2.42495352359211e-13,2.25688138272851e-21,4.47129847128262e-30,4.29926238219839e-24,3.01966472423968e-23,1.00907092014792e-09,5.48380854142572e-17,1.69216974589532e-24,1.33414797552873e-06,3.7451108729107e-12,2.64766265343278e-14,2.80533139120582e-05,4.53860452919721e-07
8.39826876315563e-276,0,3.47619317297694e-05,2.57839581606335e-208,1.24328778005387e-263,0.00388329657697877,0.00212802752468517,3.83160493858972e-52,2.21759098603017e-42,3.49584327803602e-107,5.95116441080078e-77,0.00840707188071131,0.0026479938800579,0.000697713009735898,0.0377677124283799,2.01378001653641e-48,2.67667097607056e-22,1.89481035330974e-36,1.06790868223e-10,6.84827884324023e-33,2.56937957123615e-39,6.24378371978432e-29,5.84310130629386e-41,0.0176312988403301,0.106393542797139,0.00515832387843302,0.411383066236286,0.00149948297874902,3.84753986973722e-05,0.205795440569998,0.00203832324763022
4.66119228250313e-69,4.39111869105784e-05,0,9.76503404114609e-06,9.42724837960826e-08,0,4.59184196958056e-132,0.663460464319298,1.36471890832064e-05,0.0010567093339698,4.63911471145402e-10,2.38209331962307e-81,5.12166849376129e-58,3.18256257880651e-66,7.85471667247842e-36,0.74705871875698,0.00541777113205854,0.00106989028813149,0.000134739556729775,0.00590737506043481,0.0942485062334711,1.2388268215479e-05,2.29802642018256e-05,3.20017127721744e-27,3.0377330614727e-45,1.45699433755513e-35,5.1100006757318e-13,4.45020755576496e-41,1.881308886278e-30,2.61812876265876e-12,2.90919731738425e-13
2.51644566316283e-119,2.38108717457654e-181,0.000164769444328354,0,1.15196308324001e-10,0.000168118086648861,0.0218955526423307,1.10661486374298e-135,1.36477198471003e-162,5.29592232366746e-08,3.91981797374409e-08,0.00924957302956702,6.52933370479431e-05,0.0179035922465972,0.0277555840533231,2.91728314516094e-157,9.57914102194821e-20,5.33556728212368e-61,8.65999492168572e-30,0.00851953173125156,1.22172837955083e-14,3.41735986812267e-07,0.000333371389409111,0.0194303131258596,0.0143273781888691,0.000241755088193372,0.247451753958158,0.0012836724797028,0.0358770019142091,0.477351089324498,0.00339232235065443
7.45811867930419e-88,0,4.22666327812813e-05,7.54577325870516e-15,0,0.00864220070055255,0.000420322140455274,0.000146473053651733,3.83808919831211e-07,0,4.18633707597164e-213,0.00760128825447024,0.00903121066681603,3.53963586869758e-05,0.125690849706642,0.000133702294261839,6.30469584656383e-05,2.17651145389736e-05,0.00427539042649944,1.30611917848106e-50,7.87564782935658e-67,1.98493791007144e-29,1.09109828321372e-49,0.123673697255819,0.0244307678880237,0.018152541419776,0.202082501063519,0.0118772421447955,3.86697215464887e-08,0.232283884171176,0.0422660418710999
5.96489959088657e-51,0.00374821813429432,2.12448227711736e-322,1.91697069581121e-05,0.0127281219515073,0,3.87652825660682e-05,0.278778361574946,0.000439344633467685,0.0268623523333289,0.00642913417983362,4.00654859054187e-247,1.2055461002474e-102,0.00657650004906087,2.34512216902319e-07,0.114623075532207,0.0281559591344599,0.0013338283512,0.021219796750028,0.0128243711705616,0.0404702287276622,0.000682657137350918,0.0593333376249987,3.53215918892879e-52,5.34245623869925e-92,1.53694886404081e-57,1.80425477106135e-21,1.15539673169918e-05,0.225210863209781,0.0141426746310104,0.000371527618771761
6.52205235981937e-32,0.00124130124510174,7.73885941973915e-92,0.00641408980199255,0.00104800136376053,0.000262019103556941,0,0.910652271570658,8.78884430272283e-05,0.0292581938449343,1.00442801411278e-05,0.0268567664752373,1.02959400270733e-08,0,7.51643332562162e-79,0.953315705015969,0.00253846301894505,0.0137444180599208,5.42122195358223e-05,0.0710187109476678,0.376281800511033,0.00273016335082394,2.42666088768368e-07,0.0054419320055686,0.162032397815608,4.19414355448814e-06,0.0082860560400174,2.6111314436079e-90,2.69339343022116e-130,4.91896232200261e-43,5.69967263503334e-36
3.88432982417851e-20,7.06812337935713e-44,0.66458325782314,6.33173532370593e-132,8.57215521676365e-05,0.245634522865932,0.915133153203983,0,6.56868260418349e-06,0.000835788419177124,0.0155408222198614,0.00390649335988491,0.106613400995075,0.880396691502981,0.442200756613527,0,6.59136406499478e-48,1.38433046988045e-08,0.0178305827973502,0.0265999265895598,4.51041083987556e-05,0.000122746807281709,0.300280243731918,0.00622937028997752,0.00517199433036773,0.066424926967622,0.813419765148981,0.378984782187113,0.811979570584785,0.2518756690921,0.384115225345416
4.27845119870153e-38,2.1953793397609e-52,2.92474472460674e-05,8.16080445984165e-124,7.97612750746023e-07,0.000655170154294813,0.000109363904993847,8.91410826048326e-06,0,0.0058414088714723,4.62943710222178e-07,0.012851095767852,0.0166083236912438,0.00153446267547855,0.00261836607475284,0.000200431624017941,0.00102535475872862,0,5.10564565752722e-127,0.059207251267576,5.56117479513587e-07,0.00164612415434679,0.000165691345516211,0.00951440983887783,0.0283622371210538,0.0668879367912668,0.140502227423975,0.00445654705703057,2.68815345808825e-05,0.392848820228274,6.72439545312552e-05
2.91348383134164e-47,4.10401645339683e-89,0.00352666359752418,2.95259094910604e-08,0,0.0246948469848607,0.0264468547650563,0.000411074203515919,0.00318354990370079,0,3.50139992755636e-09,0.0396148373108367,0.0556173483633125,0.0221933417009629,0.0339414775274468,0.000207532317425373,0.0193542975847069,4.28455533384027e-05,0.436803382036885,1.18900656391421e-100,3.05203620837081e-259,4.20762277078015e-05,1.21554029018691e-05,0.149661477679437,0.157782772347969,0.014596506439181,0.34869691184595,0.00768762368851231,0.0353513814869848,0.174032749676156,0.0371376955761385
1.27218246965915e-40,1.53639863900233e-65,5.92350230404949e-08,1.2470981556921e-08,2.44370633580404e-172,0.00565746514409564,5.42861292220508e-05,0.0237897991902653,1.17712089122346e-06,1.85140608103042e-08,0,0.0230598342717421,0.0018243809539091,3.42601943793251e-07,0.379234988674629,0.031425318926388,2.70062172957637e-05,0.00166977355696706,5.16102360038437e-09,4.06725877612501e-07,1.29010350494204e-06,9.70475980378025e-77,2.79877086898206e-286,0.497395696038616,0.015344349835614,0.00910875286697076,0.0131645416334355,0.0704250488760863,9.90403490220831e-13,0.2962262892487,0.0666637467986784
4.92374238445856e-23,0.0109554853099689,2.71954813657587e-68,0.00954244703021399,0.00209218401460368,0,0.023574273277094,0.00483122608918351,0.0082994052643383,0.0253720526248608,0.0233861034746743,0,1.86959452228717e-06,0.0326609159322969,0.00307710182960742,0.00195169409642603,0.0723656348535175,0.0113225709904093,0.150178659415931,0.164992769309439,0.15291032040124,0.0105419374970208,0.170796377774245,8.08032211915647e-104,2.69015665712716e-211,1.88146136667057e-06,0.0124626564770721,0.000831460829560632,0.0874056204634177,0.21823785222596,0.0621222178775131
2.06660436249298e-27,0.000885902603813114,4.32779460986915e-65,9.43107815096428e-05,0.0226310445476621,9.64728222161989e-93,5.3652496443684e-07,0.169605355489915,0.0135904481251785,0.0774685578067721,0.00064276419905202,1.02723052637803e-06,0,0.000458806050544948,7.80012720995216e-10,0.0996106590157793,0.000491204247923241,0.0581678997005108,0.00866484521991093,0.0201757052000859,0.0412362212521104,0.00376474259689436,0.00309116879834732,3.4335652858866e-05,0.00593269435500884,0,1.03767836210795e-97,0.000117260704215501,0.0436723789777333,7.76169755992409e-06,2.32114242153933e-06
