Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Oligodendrocyte	5.13435884135e-09	4.52519754914e-09	0.128268248254	26
Neuron	5.60980187359e-10	5.38728620487e-09	0.458532939037	26
Astrocyte	-3.6631731004e-09	4.86293193668e-09	0.774360628651	26
Oligodendrocyte	4.72161423382e-09	5.29333191222e-09	0.186198381617	27
Neuron	3.4198243943e-09	5.34577208458e-09	0.261175678547	27
Astrocyte	-1.18904967683e-09	4.87374135503e-09	0.596373210993	27
Oligodendrocyte	1.33777130529e-08	5.70056258068e-09	0.0094693447395	28
Astrocyte	3.03899421101e-09	4.93318925224e-09	0.268937250595	28
Neuron	6.22784232524e-10	5.80763851535e-09	0.457301130219	28
Neuron	1.43220000493e-08	5.94979629874e-09	0.00803897519454	29
Oligodendrocyte	-1.00206836704e-09	5.86245928615e-09	0.56786047577	29
Astrocyte	-9.87250254305e-10	4.50431704943e-09	0.586744567751	29
Oligodendrocyte	6.15255841577e-10	5.29448251171e-09	0.453744251133	30
Neuron	9.65937556142e-11	4.89309366174e-09	0.492125057668	30
Astrocyte	-8.42649195595e-09	4.95365921629e-09	0.955534526267	30
