Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A04.411.Lung	1.86327852143e-08	5.72555264294e-09	0.000568319173115
A08.186.211.464.Limbic.System	1.33295963029e-08	4.66693720341e-09	0.00214388360951
A08.186.211.730.885.287.500.Cerebral.Cortex	1.35035684193e-08	4.80033776605e-09	0.0024537355402
A10.615.789.Serous.Membrane	1.37763959414e-08	5.22778760508e-09	0.00420407789775
A08.186.211.464.405.Hippocampus	1.20861500136e-08	4.64028920379e-09	0.00459892615989
Brain_Nucleus_accumbens_(basal_ganglia)	1.27461932513e-08	5.00266147456e-09	0.00541894956161
Brain_Substantia_nigra	1.29980679429e-08	5.11005165202e-09	0.00548540039696
A08.186.211.464.710.225.Entorhinal.Cortex	1.26929995373e-08	5.07641479519e-09	0.00620289213328
Brain_Cortex	1.19592109362e-08	4.78705132905e-09	0.00624055431365
Brain_Hippocampus	1.19110184156e-08	4.78206338527e-09	0.00637333626186
Brain_Caudate_(basal_ganglia)	1.22753318708e-08	5.13597812567e-09	0.00842264954171
Brain_Anterior_cingulate_cortex_(BA24)	1.06093826438e-08	4.81495263848e-09	0.0137824358557
Brain_Hypothalamus	1.08884293853e-08	5.03966858286e-09	0.0153652624934
Brain_Frontal_Cortex_(BA9)	1.01474500948e-08	4.72013284762e-09	0.0157846096175
Brain_Putamen_(basal_ganglia)	1.03085823108e-08	4.84716092881e-09	0.0167214353587
Brain_Amygdala	1.01469545941e-08	4.81206126395e-09	0.0174873873704
A03.556.875.500.Esophagus	1.21886533254e-08	5.97313347894e-09	0.0206463241202
A11.436.329.Granulosa.Cells	1.06633410752e-08	5.44773760635e-09	0.0251508817542
A15.145.229.637.555.567.562.725.Plasma.Cells	1.14475152658e-08	6.07072086531e-09	0.0296681747529
A11.118.637.555.567.562.B.Lymphocytes	1.13643818924e-08	6.05739394843e-09	0.0303195837777
A08.186.211.730.885.287.249.Basal.Ganglia	1.02164725054e-08	5.61533397863e-09	0.0344261111379
A08.186.211.730.317.Diencephalon	1.00796301829e-08	5.69872327418e-09	0.0384676059141
A15.382.490.555.567.Lymphocytes	9.86032074658e-09	5.94610159428e-09	0.0486301529307
A10.615.550.Mucous.Membrane	9.62862912807e-09	5.80936339212e-09	0.048716007616
A08.186.211.Brain	8.55914384625e-09	5.25537227821e-09	0.0516939336134
A05.360.319.679.256.Cervix.Uteri	9.55292882519e-09	6.07514104172e-09	0.0579217151556
A03.734.Pancreas	8.46538528952e-09	5.42515957925e-09	0.0593334263265
Artery_Tibial	7.23178942735e-09	4.72145267332e-09	0.0627998002944
Esophagus_Mucosa	7.71095697732e-09	5.09265868083e-09	0.0649961943733
A08.186.211.730.885.287.249.487.Corpus.Striatum	8.19354811624e-09	5.56584707959e-09	0.0704953701519
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	7.89304915328e-09	5.38301979066e-09	0.0712851282649
Artery_Aorta	6.7610728954e-09	4.72342972601e-09	0.0761591508872
A15.145.300.Fetal.Blood	9.29378240185e-09	6.51418402553e-09	0.0768332801972
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	8.50158202147e-09	5.96720608834e-09	0.0771194614572
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	8.16221145965e-09	5.82485266369e-09	0.080566156866
Artery_Coronary	6.44980263973e-09	4.6460729108e-09	0.0825340064658
Adrenal_Gland	6.95068801605e-09	5.0804647371e-09	0.0856371786002
Skin_Sun_Exposed_(Lower_leg)	7.73490158662e-09	5.70200166988e-09	0.0874662669387
Brain_Spinal_cord_(cervical_c-1)	6.52598056288e-09	4.8723812677e-09	0.0902231465184
A11.329.629.Osteoblasts	7.52630606328e-09	5.75701032121e-09	0.0955505138272
A03.556.249.249.356.Colon	7.08506191443e-09	5.72168475641e-09	0.107805671319
A11.329.830.Stromal.Cells	6.55916943668e-09	5.31369510405e-09	0.10852890008
Breast_Mammary_Tissue	6.27826458747e-09	5.11537661058e-09	0.109848946553
A08.186.211.730.885.287.500.571.735.Visual.Cortex	5.7860932638e-09	4.85456662535e-09	0.116652842234
A10.615.284.473.Chorion	6.50001657602e-09	5.53023262227e-09	0.119925274304
A10.615.550.599.Mouth.Mucosa	6.97716989914e-09	5.94719671848e-09	0.120360546102
A05.360.319.114.373.Fallopian.Tubes	6.54048361588e-09	5.60039526889e-09	0.12143140458
Pituitary	5.66662158733e-09	5.12316408337e-09	0.134346274251
A15.382.812.522.Macrophages	6.29867018317e-09	5.91642057246e-09	0.143526621252
A05.360.319.887.Vulva	5.98256472127e-09	5.63302880977e-09	0.14410623267
A06.407.071.140.Adrenal.Cortex	6.21913895992e-09	5.89222399592e-09	0.145602368222
A05.810.890.Urinary.Bladder	7.14398591027e-09	6.77634888366e-09	0.145883558078
A11.118.637.Leukocytes	6.63939432175e-09	6.3441665592e-09	0.147656975457
A03.556.249.249.209.Cecum	6.0304573245e-09	5.86813666752e-09	0.152054574278
A15.382.490.555.567.537.Killer.Cells..Natural	5.62679568091e-09	5.58509847933e-09	0.156855493482
A08.186.211.653.Mesencephalon	5.92612096218e-09	5.93385874702e-09	0.15897099083
A03.556.875.875.Stomach	6.72715376588e-09	6.78632842444e-09	0.160774361626
Colon_Sigmoid	4.40065197938e-09	4.49055606888e-09	0.163548169084
Adipose_Visceral_(Omentum)	4.69245259629e-09	4.82439968214e-09	0.165363629029
A14.549.Mouth	5.48930841461e-09	5.75215317983e-09	0.16996464445
A15.145.229.637.555.Leukocytes..Mononuclear	5.77371041077e-09	6.29070552076e-09	0.179357592446
A15.382.490.555.567.622.Lymphocytes..Null	5.87254107193e-09	6.51175421377e-09	0.183571723229
Whole_Blood	5.20791259535e-09	5.84869839947e-09	0.18661494658
A11.329.372.600.Macrophages..Alveolar	4.92249618259e-09	5.71139032939e-09	0.19437855644
Ovary	3.94034543059e-09	4.67155891837e-09	0.199481284988
A11.118.637.555.567.569.200.700.T.Lymphocytes..Regulatory	4.60782018305e-09	5.6827582216e-09	0.208728148116
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	5.18549247106e-09	6.39564856387e-09	0.208744729922
A11.382.Endocrine.Cells	4.75028220758e-09	6.05284781303e-09	0.216285069165
A08.186.211.730.317.357.Hypothalamus	5.68975551835e-09	7.38486348838e-09	0.2205129911
A10.615.Membranes	4.11722392444e-09	5.4536872483e-09	0.225141541671
A02.633.567.850.Quadriceps.Muscle	4.33133025167e-09	5.79937737795e-09	0.227573658609
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	4.57493137221e-09	6.31261529601e-09	0.234309344571
A03.556.875.Upper.Gastrointestinal.Tract	4.55630176954e-09	6.32354077195e-09	0.235599322141
Minor_Salivary_Gland	3.93543341071e-09	5.60385554461e-09	0.241254632786
A15.382.520.604.700.Spleen	4.44553014585e-09	6.3323960766e-09	0.241330319497
A04.531.520.Nasal.Mucosa	3.49470968521e-09	5.09745740923e-09	0.2464893181
A09.371.729.Retina	3.14115380826e-09	4.73727592636e-09	0.253642303308
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	3.83939781302e-09	5.85169723096e-09	0.255874435594
A10.272.Epithelium	3.34093020955e-09	5.26065477469e-09	0.262688518399
A05.360.319.679.690.Myometrium	3.0384191057e-09	5.1442029712e-09	0.27737776322
Cells_EBV-transformed_lymphocytes	3.21779983547e-09	5.51294393931e-09	0.279717524885
A06.407.071.Adrenal.Glands	3.11520655649e-09	5.41176446642e-09	0.282430614651
A02.165.Cartilage	3.15080120739e-09	5.5014090802e-09	0.283415041883
A08.186.211.730.885.287.500.270.Frontal.Lobe	2.8300762704e-09	4.97749061514e-09	0.284822328443
A15.145.229.637.555.567.569.200.CD4.Positive.T.Lymphocytes	3.13895033365e-09	5.59047502893e-09	0.287234545574
Small_Intestine_Terminal_Ileum	3.11189200584e-09	5.64357118388e-09	0.290678119702
A11.872.Stem.Cells	3.12603760432e-09	5.78547832374e-09	0.29448651806
A08.186.211.730.885.287.500.670.Parietal.Lobe	2.59393189043e-09	4.8235298609e-09	0.295369194224
A11.872.580.Mesenchymal.Stem.Cells	2.79062502101e-09	5.2766537286e-09	0.298450370189
A07.231.908.Veins	2.90221141776e-09	5.71739561681e-09	0.305863178728
Lung	2.62308653869e-09	5.18863253255e-09	0.306588097238
A07.231.114.Arteries	2.93230627614e-09	5.86814007095e-09	0.3086433653
A08.186.211.865.428.Metencephalon	2.67694741868e-09	5.37569003103e-09	0.309251606765
A11.872.653.Neural.Stem.Cells	3.0913544837e-09	6.21367384103e-09	0.309415315787
A15.382.680.Phagocytes	2.88920320771e-09	5.81458020469e-09	0.309633527163
Prostate	2.58102264267e-09	5.27630219581e-09	0.312359741071
A08.186.211.132.810.428.200.Cerebellum	2.55169854016e-09	5.3605862588e-09	0.317033236429
A10.690.Muscles	2.65725920941e-09	5.59707089315e-09	0.317479416055
A05.810.453.Kidney	2.10028239429e-09	4.69227422138e-09	0.327219378412
Brain_Cerebellum	2.12505944945e-09	4.81485106236e-09	0.329477942736
A11.436.294.064.Glucagon.Secreting.Cells	2.32165467719e-09	5.30136608148e-09	0.330716638434
A03.556.124.684.Intestine..Small	2.72461460271e-09	6.54302001896e-09	0.338553013711
A14.724.557.Nasopharynx	2.1459340585e-09	5.21114108732e-09	0.340243984178
Nerve_Tibial	2.19223992312e-09	5.39755147453e-09	0.342314534669
A07.541.358.100.Atrial.Appendage	1.9812594477e-09	4.89938374441e-09	0.34296315223
Skin_Not_Sun_Exposed_(Suprapubic)	2.03871485622e-09	5.46884383257e-09	0.354653423493
A11.620.520.Myocytes..Smooth.Muscle	1.93641060055e-09	5.61938164777e-09	0.365199447228
A11.872.190.Embryonic.Stem.Cells	1.83505537822e-09	5.46534518399e-09	0.368525163661
A11.118.637.555.567.569.T.Lymphocytes	1.7897888351e-09	5.33286862987e-09	0.368580737796
A11.436.275.Endothelial.Cells	1.88447686969e-09	5.64030231235e-09	0.369148580585
A03.556.249.124.Ileum	2.00020851826e-09	6.26584690958e-09	0.374778341293
Bladder	1.38133784736e-09	4.58423752189e-09	0.381583965233
A03.556.Gastrointestinal.Tract	1.78993325143e-09	5.98409389282e-09	0.382426086618
A03.556.500.760.464.Parotid.Gland	1.6827564433e-09	5.92624432968e-09	0.388224390149
A07.541.Heart	1.34965109313e-09	5.00489812149e-09	0.393708591758
Colon_Transverse	1.3986729823e-09	5.30520075696e-09	0.396027950795
A10.549.400.Lymph.Nodes	1.38535827455e-09	5.49711341375e-09	0.400514507184
A11.329.171.Chondrocytes	1.3652208974e-09	5.4734004215e-09	0.401514752855
Vagina	1.32722668478e-09	5.47451880034e-09	0.404220729223
A17.815.Skin	1.2997785053e-09	5.63906822521e-09	0.408853472567
A08.186.211.132.Brain.Stem	1.12552988062e-09	5.18085099347e-09	0.41400751224
A15.382.Immune.System	1.29394238773e-09	6.09112654143e-09	0.415885511354
A11.436.397.Keratinocytes	1.48778818518e-09	7.20649972933e-09	0.418219366516
Cells_Transformed_fibroblasts	1.11950649054e-09	5.51148253482e-09	0.419519616021
A15.378.316.Bone.Marrow.Cells	1.11137723559e-09	5.89003899996e-09	0.425168841193
A07.231.908.670.874.Umbilical.Veins	1.09137350379e-09	5.92633361133e-09	0.42694529898
A14.724.Pharynx	8.58801262667e-10	5.04127878422e-09	0.432365930962
A06.407.312.Gonads	9.10931934554e-10	5.40438327147e-09	0.433073622339
A10.549.Lymphoid.Tissue	9.05152560976e-10	5.43838759413e-09	0.433906265401
A09.371.Eye	8.61251720335e-10	5.83291901381e-09	0.441308060467
A10.165.450.300.425.Keloid	5.99852102309e-10	4.43883013657e-09	0.446251607885
