Name	Coefficient	Coefficient_std_error	Coefficient_P_value
A10.690.Muscles	1.78533948705e-08	6.07581372268e-09	0.00164935932132
A02.633.567.850.Quadriceps.Muscle	1.35024789914e-08	5.79265645631e-09	0.00987760477044
A08.186.211.653.Mesencephalon	1.52346701344e-08	6.57491849879e-09	0.0102494469997
A08.186.211.730.317.Diencephalon	1.42551712996e-08	6.86805715154e-09	0.0189666137025
A08.186.211.730.885.287.500.670.Parietal.Lobe	9.91235093389e-09	5.43296149298e-09	0.0340394718511
Brain_Hypothalamus	8.46665235889e-09	4.90830792088e-09	0.0422670188876
Brain_Putamen_(basal_ganglia)	8.09680728611e-09	4.74948940727e-09	0.044118267012
Nerve_Tibial	8.1993050145e-09	4.81650644892e-09	0.0443463420976
Brain_Amygdala	7.15529887194e-09	4.28757382226e-09	0.0475739877005
A03.556.875.500.Esophagus	9.8233850842e-09	5.98345899047e-09	0.0503201971894
Brain_Substantia_nigra	7.44050291505e-09	4.54259287867e-09	0.0507169139385
A14.549.885.Tongue	8.86682756346e-09	5.5296870518e-09	0.0544126656916
A08.186.211.464.710.225.Entorhinal.Cortex	8.81944975899e-09	6.07182451368e-09	0.0731784625262
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	8.15743789876e-09	5.96510170885e-09	0.0857300834418
Esophagus_Muscularis	8.41784931979e-09	6.34054318e-09	0.0921513839247
A07.541.Heart	6.77058723114e-09	5.14410532373e-09	0.0940562079455
A15.145.300.Fetal.Blood	8.1304482971e-09	6.23880483658e-09	0.0962522101641
A11.436.275.Endothelial.Cells	7.58855132556e-09	5.96304697466e-09	0.101580671802
A08.186.211.730.885.287.249.487.Corpus.Striatum	5.95025572526e-09	4.75161801731e-09	0.105237778619
A07.231.908.670.874.Umbilical.Veins	7.49872195899e-09	6.058384457e-09	0.107905715224
A08.186.211.730.317.357.Hypothalamus	8.55594863035e-09	7.06016072311e-09	0.112782384577
A14.549.Mouth	7.01979960821e-09	5.81308144091e-09	0.113603146265
Muscle_Skeletal	6.86556471414e-09	5.77082251281e-09	0.117081577757
Heart_Left_Ventricle	6.02842425406e-09	5.08891058548e-09	0.118083901885
Brain_Frontal_Cortex_(BA9)	5.56224852771e-09	4.77628862698e-09	0.122099680432
A09.371.Eye	6.42596465081e-09	5.6007368876e-09	0.125620003921
A03.556.875.Upper.Gastrointestinal.Tract	7.74552885397e-09	7.0852277674e-09	0.137154303964
Vagina	5.67371243755e-09	5.2760857848e-09	0.14110590814
Esophagus_Gastroesophageal_Junction	5.48767297105e-09	5.11791177105e-09	0.141804226683
A08.186.211.730.885.287.249.Basal.Ganglia	5.51768220931e-09	5.14607782065e-09	0.141812593369
A10.615.550.599.Mouth.Mucosa	6.65512384078e-09	6.41474277895e-09	0.149757685235
Heart_Atrial_Appendage	5.35870668238e-09	5.23568572692e-09	0.153036546905
A14.549.167.646.Periodontium	6.23148657099e-09	6.17529248273e-09	0.156463380672
Testis	5.27810547076e-09	5.29453843294e-09	0.159407437815
Bladder	4.97546256222e-09	5.02301413448e-09	0.16095677048
A07.541.560.Heart.Ventricles	4.95220551895e-09	5.08617812915e-09	0.165112822943
Brain_Caudate_(basal_ganglia)	4.46027779544e-09	4.67165845999e-09	0.169851425825
Brain_Hippocampus	4.23536690867e-09	4.4576598315e-09	0.171022498152
Brain_Cortex	4.48223763377e-09	4.78053905956e-09	0.174224779241
Brain_Cerebellum	4.40956918333e-09	4.94078218733e-09	0.186066775242
A05.810.890.Urinary.Bladder	5.06801598163e-09	5.80110858374e-09	0.191160197253
A07.231.908.Veins	5.88051292291e-09	6.76991886059e-09	0.192526455
A03.556.875.875.Stomach	5.77413372968e-09	6.79623002053e-09	0.197771435837
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	5.2499746384e-09	6.23363111592e-09	0.199837535
Brain_Nucleus_accumbens_(basal_ganglia)	3.80207196971e-09	4.53457240821e-09	0.200885311234
Brain_Anterior_cingulate_cortex_(BA24)	3.98793448314e-09	4.77436840827e-09	0.201780035443
Artery_Coronary	4.21681250613e-09	5.30722724792e-09	0.213440118258
A04.411.Lung	4.82310594634e-09	6.5348344474e-09	0.230238714144
A03.556.124.526.767.Rectum	4.82331156191e-09	6.90845925265e-09	0.242533968954
A04.531.520.Nasal.Mucosa	4.04186600848e-09	6.02879701106e-09	0.251292934593
A03.556.249.249.356.668.Colon..Sigmoid	4.00021802023e-09	6.09527993182e-09	0.255821585064
Brain_Spinal_cord_(cervical_c-1)	2.74693893438e-09	4.85512081023e-09	0.285771064055
A15.382.490.555.567.622.Lymphocytes..Null	2.9797674849e-09	5.37484538653e-09	0.289655541732
A11.118.637.555.567.562.B.Lymphocytes	3.65066135805e-09	6.64661173206e-09	0.29141643854
Uterus	3.26424489804e-09	6.03299146549e-09	0.294231141022
Cervix_Ectocervix	2.97752977529e-09	5.55106011403e-09	0.295844729657
A07.231.Blood.Vessels	3.41486404799e-09	6.53768657545e-09	0.300718470594
A10.615.550.Mucous.Membrane	2.61462429216e-09	5.52852557823e-09	0.318130354415
A06.407.900.Thyroid.Gland	2.30844413031e-09	5.10055826039e-09	0.325423238274
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	2.46428145819e-09	5.57814789157e-09	0.329326328625
A09.371.729.Retina	2.16089889524e-09	5.27041384383e-09	0.340900940331
A10.272.Epithelium	2.21877379227e-09	5.97070671216e-09	0.35509165427
A08.186.211.Brain	1.78383774163e-09	5.05542412886e-09	0.362098124762
A02.165.Cartilage	1.81205140738e-09	5.6099435337e-09	0.373344944973
A11.443.Erythroid.Cells	1.79853284604e-09	5.75949450578e-09	0.37741664638
A15.382.520.604.800.Palatine.Tonsil	2.20709467001e-09	7.0763045903e-09	0.377558515348
A14.724.557.Nasopharynx	1.60532890866e-09	5.25109702707e-09	0.379911566638
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	2.01748604742e-09	6.67938577028e-09	0.381308253337
Brain_Cerebellar_Hemisphere	1.1229403281e-09	4.58752374822e-09	0.403312861555
A15.145.846.Serum	1.6323163448e-09	6.74090394782e-09	0.404331597278
A08.186.211.730.885.287.500.571.735.Visual.Cortex	1.35049228407e-09	5.82791349306e-09	0.408374538159
Cervix_Endocervix	1.3619237648e-09	6.11058355295e-09	0.411814648551
A11.872.580.Mesenchymal.Stem.Cells	1.23294637502e-09	5.67979674174e-09	0.414074639745
A08.186.211.730.885.287.500.270.Frontal.Lobe	1.17477995424e-09	5.44421692483e-09	0.414577698843
A10.165.450.300.425.Keloid	9.80565969924e-10	4.95507217873e-09	0.421565032303
A10.165.114.830.750.Subcutaneous.Fat	1.23336331746e-09	7.25142194337e-09	0.432471362097
A07.541.510.110.Aortic.Valve	8.52391303271e-10	5.54198771718e-09	0.43888132719
A08.186.211.132.Brain.Stem	4.52544574359e-10	4.75700235313e-09	0.462104871411
A08.186.211.464.Limbic.System	4.67777152984e-10	5.24294424364e-09	0.464453409147
Colon_Sigmoid	3.08191688668e-10	6.40240761565e-09	0.480803591976
Fallopian_Tube	1.84729541604e-10	5.02014251142e-09	0.485323166399
A15.145.229.637.555.567.562.725.Plasma.Cells	6.01918919576e-11	5.63922325814e-09	0.495741854227
A05.360.319.679.690.Myometrium	5.2532920245e-11	6.11802228223e-09	0.49657449017
A11.627.635.Myeloid.Progenitor.Cells	-1.30128855573e-11	6.19452257281e-09	0.50083806078
A10.272.497.Epidermis	-5.57213409084e-11	6.31724721533e-09	0.503518828662
A10.615.Membranes	-7.74322212567e-11	5.39742591416e-09	0.505723085009
Ovary	-1.05138046994e-10	5.18108411252e-09	0.508095049759
A03.556.Gastrointestinal.Tract	-1.77530106119e-10	6.145252164e-09	0.511523435227
Pituitary	-1.75954538773e-10	5.09414793578e-09	0.513776935912
A08.186.211.464.405.Hippocampus	-2.38196033992e-10	5.34822934531e-09	0.517761965094
A05.360.319.679.256.Cervix.Uteri	-2.60185052028e-10	5.81990267543e-09	0.51782920749
A11.497.497.600.Oocytes	-3.00490141013e-10	6.03571776963e-09	0.519853267468
A10.165.114.830.500.750.Subcutaneous.Fat..Abdominal	-4.89429977102e-10	7.11371018138e-09	0.527425966738
A05.360.319.679.Uterus	-5.15173504353e-10	5.05968287558e-09	0.540549957607
A07.231.114.Arteries	-8.43801937292e-10	5.84924440374e-09	0.55735173933
A03.556.124.684.Intestine..Small	-7.72122354742e-10	5.1780385012e-09	0.559268489785
A08.186.211.730.885.287.500.Cerebral.Cortex	-8.07012252221e-10	5.15810319557e-09	0.562162899383
Esophagus_Mucosa	-8.73493920664e-10	5.48984625836e-09	0.563209216778
Adipose_Subcutaneous	-1.17668404439e-09	5.71843968213e-09	0.581514760444
A03.556.124.Intestines	-1.32038533947e-09	6.33404187365e-09	0.582564537551
A15.382.490.555.567.537.Killer.Cells..Natural	-1.57135016262e-09	6.63357759429e-09	0.593624372875
A14.724.Pharynx	-1.29151161772e-09	5.19512251523e-09	0.598165205517
A15.382.490.555.567.Lymphocytes	-1.60754218171e-09	5.94805581771e-09	0.606521215155
Artery_Tibial	-1.28640747907e-09	4.75163144579e-09	0.606700511468
A05.360.319.114.630.Ovary	-1.69755809658e-09	6.13295658924e-09	0.609030386844
Thyroid	-1.56300695357e-09	5.25146168227e-09	0.617008259996
A15.145.229.637.555.Leukocytes..Mononuclear	-2.12320539219e-09	7.01472526463e-09	0.618932496586
A11.329.629.Osteoblasts	-1.75788937682e-09	5.62575042327e-09	0.622659072976
A03.556.249.249.209.Cecum	-2.06556419505e-09	6.47579609133e-09	0.625124169663
A14.549.167.Dentition	-1.88787762432e-09	5.73055286004e-09	0.629088713911
Skin_Sun_Exposed_(Lower_leg)	-2.19620448578e-09	6.23376297702e-09	0.637696350543
A03.556.249.249.356.Colon	-2.28692016329e-09	6.48670910513e-09	0.637788870205
