Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Artery_Tibial	1.53244923915e-08	5.60645467922e-09	0.00313453168463
Nerve_Tibial	1.25892524059e-08	5.48261927094e-09	0.0108319009482
A11.872.580.Mesenchymal.Stem.Cells	1.48886831255e-08	6.7609373293e-09	0.0138269134845
A02.165.Cartilage	1.20289659138e-08	5.72642705955e-09	0.0178377920963
A08.186.211.730.885.287.500.571.735.Visual.Cortex	1.18923727788e-08	5.81003969505e-09	0.0203356210303
A07.231.114.Arteries	1.30039091168e-08	7.07620103868e-09	0.0330535779255
A08.186.211.730.885.287.249.487.Corpus.Striatum	9.88936455626e-09	5.38409112568e-09	0.0331215510678
A05.810.890.Urinary.Bladder	1.15949288655e-08	6.64766322796e-09	0.040561131789
Ovary	9.99387267471e-09	5.9173298086e-09	0.0456177694287
A09.371.729.Retina	9.41111053672e-09	5.66858469913e-09	0.0484348734163
A08.186.211.464.710.225.Entorhinal.Cortex	8.0987783859e-09	5.50307017921e-09	0.0705531629203
A02.835.232.834.151.Cervical.Vertebrae	9.70885439083e-09	6.80082465335e-09	0.0767035728832
A08.186.211.464.Limbic.System	7.80769623356e-09	5.5441053564e-09	0.0795229254002
A15.378.316.Bone.Marrow.Cells	9.13889159349e-09	6.53188592715e-09	0.0808885153851
A11.436.275.Endothelial.Cells	9.86080764302e-09	7.19313106988e-09	0.0852086081477
Artery_Coronary	8.83832230572e-09	6.52068688556e-09	0.0876405992351
Brain_Cerebellar_Hemisphere	6.48387066623e-09	5.37791936643e-09	0.113976874783
A11.872.190.260.Embryoid.Bodies	8.03053407566e-09	6.9738704855e-09	0.124759695015
A05.360.319.679.690.Myometrium	6.85178291437e-09	5.97528981028e-09	0.125755649018
A08.186.211.730.885.287.249.Basal.Ganglia	6.27476325969e-09	5.52044300709e-09	0.127844143482
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	6.67063600121e-09	6.15743671932e-09	0.139327381097
A11.329.629.Osteoblasts	7.39825758732e-09	6.85277524465e-09	0.14016012414
A08.186.211.464.405.Hippocampus	5.79391426028e-09	5.42758314534e-09	0.142874335207
A08.186.211.132.Brain.Stem	5.49116001482e-09	5.17460272972e-09	0.144305147
Adipose_Visceral_(Omentum)	5.71897428279e-09	5.53575008097e-09	0.150778937379
Brain_Cerebellum	5.6698692762e-09	5.49835454586e-09	0.151224967013
Brain_Cortex	5.35493005746e-09	5.20703466425e-09	0.151880149524
Artery_Aorta	6.31882134875e-09	6.16136459393e-09	0.152550576004
A08.186.211.730.885.287.500.Cerebral.Cortex	5.57634682131e-09	5.4379208265e-09	0.152574112709
A08.186.211.865.428.Metencephalon	5.00243481205e-09	4.89312817163e-09	0.153310286274
A08.186.211.653.Mesencephalon	6.35137865715e-09	6.24235490315e-09	0.154466098005
A03.556.875.Upper.Gastrointestinal.Tract	6.6260908408e-09	6.67841441982e-09	0.160558455784
A15.145.846.Serum	6.51072620797e-09	6.61277652743e-09	0.162418229792
A11.872.040.Adult.Stem.Cells	7.35575502694e-09	7.51974960638e-09	0.163989813776
A11.118.637.555.567.562.B.Lymphocytes	6.50422636574e-09	6.75085580879e-09	0.167656624461
A05.360.319.679.Uterus	5.67892891106e-09	5.90371292537e-09	0.168043645888
A08.186.211.730.317.357.Hypothalamus	6.71947622447e-09	7.38887031586e-09	0.181568169795
A07.231.908.670.874.Umbilical.Veins	5.59432026734e-09	6.17057887725e-09	0.182306032133
A07.231.Blood.Vessels	5.8155793932e-09	6.61332778778e-09	0.189599635931
A03.556.875.875.Stomach	5.66042284275e-09	6.45320819812e-09	0.190202952173
A07.231.908.Veins	5.76054102947e-09	6.58807494573e-09	0.19095319125
A08.186.211.132.810.428.200.Cerebellum	4.23311689396e-09	4.85026247917e-09	0.191396851272
A08.186.211.730.885.287.500.670.Parietal.Lobe	5.23565974024e-09	6.13856293675e-09	0.196853793591
A15.145.229.Blood.Cells	5.57568743255e-09	6.72560471085e-09	0.203545425467
A15.382.680.Phagocytes	5.05080530678e-09	6.17119660213e-09	0.206550628659
A11.118.637.Leukocytes	4.85798834675e-09	6.00811329043e-09	0.209380871469
Brain_Frontal_Cortex_(BA9)	4.16442486281e-09	5.15861850116e-09	0.20975396991
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	5.60259918089e-09	6.97888486701e-09	0.211047224962
A10.615.789.Serous.Membrane	5.49062519037e-09	6.85970410019e-09	0.211734557679
A17.815.Skin	5.28359584013e-09	6.92388585465e-09	0.222702803982
Cells_Transformed_fibroblasts	4.84418985151e-09	6.36248005609e-09	0.223218594266
A11.329.114.Adipocytes	4.9711777831e-09	6.61024937093e-09	0.226013236235
A15.145.Blood	5.1678426952e-09	7.03735975006e-09	0.231369563061
A06.407.900.Thyroid.Gland	4.25658235224e-09	6.05972299203e-09	0.241202890631
A15.145.300.Fetal.Blood	4.68394410044e-09	6.72642378823e-09	0.24310488519
A14.549.167.Dentition	4.22940626345e-09	6.14706588986e-09	0.245714869393
A10.549.400.Lymph.Nodes	3.53203587853e-09	5.51411034836e-09	0.260909167804
A08.186.211.730.317.Diencephalon	4.26853804164e-09	6.81418194078e-09	0.265519834427
A11.872.190.Embryonic.Stem.Cells	4.47777369322e-09	7.19008343352e-09	0.266717589284
A15.382.Immune.System	4.09461263583e-09	6.78986512713e-09	0.273238474385
A15.382.490.315.583.Neutrophils	3.86843500588e-09	6.56542752246e-09	0.277859211078
A02.835.583.443.800.800.Synovial.Fluid	3.60055169508e-09	6.49054704619e-09	0.289537013524
Brain_Amygdala	2.82023072464e-09	5.23291514463e-09	0.294963901277
A11.872.Stem.Cells	3.65307930885e-09	7.06765857332e-09	0.30262253578
A10.165.450.300.425.Keloid	2.838910854e-09	5.71856977153e-09	0.309792986852
Esophagus_Gastroesophageal_Junction	3.08059869265e-09	6.21053799755e-09	0.309937444452
A07.541.510.110.Aortic.Valve	2.85146945126e-09	5.7779701744e-09	0.310827153213
A03.556.875.500.Esophagus	2.70820456531e-09	5.73986684088e-09	0.31852635655
A11.872.653.Neural.Stem.Cells	3.05061701118e-09	6.51407606088e-09	0.319780907492
Pituitary	2.46969604644e-09	5.30028458863e-09	0.320623724644
A03.734.Pancreas	3.01326025141e-09	6.51263114152e-09	0.321797094082
A05.360.319.679.490.Endometrium	2.64651217918e-09	5.89259411874e-09	0.326670691697
Brain_Substantia_nigra	2.2201987549e-09	4.97423837181e-09	0.327676036521
A08.186.211.Brain	2.28981400491e-09	5.248162604e-09	0.331306730702
A15.145.229.637.555.567.562.725.Plasma.Cells	2.82581683874e-09	6.62821982129e-09	0.334933267099
Breast_Mammary_Tissue	1.97232206972e-09	4.90165415797e-09	0.343702608466
Colon_Sigmoid	2.5867234558e-09	6.77930558889e-09	0.351393243803
Brain_Putamen_(basal_ganglia)	1.94806740488e-09	5.13183647885e-09	0.35211956897
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	2.19362819531e-09	5.77884171581e-09	0.352122472839
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	1.99565124175e-09	6.15372674725e-09	0.372855603918
A11.329.171.Chondrocytes	1.68743905018e-09	5.59207078573e-09	0.381419164437
Brain_Hippocampus	1.42184234707e-09	4.99172104825e-09	0.387883322543
Thyroid	1.70316038354e-09	6.20214397316e-09	0.391808583893
Adipose_Subcutaneous	1.40061878563e-09	5.30978588371e-09	0.395974471849
Brain_Anterior_cingulate_cortex_(BA24)	1.24207005952e-09	5.0284077466e-09	0.402450006842
A03.556.Gastrointestinal.Tract	8.93253971551e-10	6.01796056876e-09	0.441001182802
A11.118.637.555.567.569.T.Lymphocytes	8.33862635952e-10	6.13220698449e-09	0.445918215207
Muscle_Skeletal	6.13025776523e-10	5.15038372957e-09	0.452627670647
A15.382.812.522.Macrophages	6.60050401816e-10	5.62005393019e-09	0.453253489637
A15.145.229.637.555.Leukocytes..Mononuclear	7.55299862214e-10	7.11848277209e-09	0.457749898355
Cells_EBV-transformed_lymphocytes	5.12285184113e-10	6.0546492723e-09	0.46628563841
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	4.21427160244e-10	5.7016192051e-09	0.470539569971
A05.360.319.887.Vulva	4.85173623918e-10	6.60209563576e-09	0.470708967555
Brain_Hypothalamus	3.31292049308e-10	5.32201430227e-09	0.475182122671
A14.549.Mouth	3.38046937327e-10	6.22649206793e-09	0.478351374856
A05.360.319.679.256.Cervix.Uteri	3.11485614854e-10	6.01183774526e-09	0.479339228493
A11.872.700.500.Induced.Pluripotent.Stem.Cells	2.05945952242e-10	6.82064602511e-09	0.487955970031
A05.360.444.492.362.Foreskin	1.40488943666e-10	5.78124019732e-09	0.490306324959
Lung	7.20041703493e-11	5.89788191873e-09	0.495129642344
A10.272.497.Epidermis	5.37139161883e-11	6.60665119585e-09	0.496756523766
A10.615.284.473.Chorion	2.29367849387e-11	6.21029519142e-09	0.498526570444
A14.549.167.646.Periodontium	-8.82000441122e-11	6.10176799387e-09	0.505766443672
A11.118.637.555.567.569.200.700.T.Lymphocytes..Regulatory	-8.81269299488e-11	5.99920620972e-09	0.505860157623
Brain_Caudate_(basal_ganglia)	-3.67154151045e-10	4.86618655854e-09	0.530071691523
Esophagus_Muscularis	-5.49293029642e-10	6.96802999822e-09	0.531416263191
A05.360.319.114.630.Ovary	-8.01507012851e-10	6.91304154407e-09	0.546150467523
Brain_Nucleus_accumbens_(basal_ganglia)	-5.76367112557e-10	4.81183617968e-09	0.547671729669
A05.360.319.114.373.Fallopian.Tubes	-7.94820873051e-10	6.43872537682e-09	0.549122171492
A07.541.358.100.Atrial.Appendage	-7.59711948636e-10	5.65043069344e-09	0.553477434456
A11.329.Connective.Tissue.Cells	-8.87050153625e-10	6.41969793762e-09	0.554949460165
A03.556.124.Intestines	-8.43170807584e-10	6.03024495226e-09	0.555600333163
A10.336.707.Prostate	-9.54524670107e-10	6.32444363066e-09	0.559983060251
A15.145.229.637.555.567.569.200.CD4.Positive.T.Lymphocytes	-9.53337650702e-10	5.51207348073e-09	0.568656385166
A11.620.520.Myocytes..Smooth.Muscle	-1.16439078226e-09	6.19238886623e-09	0.574575705553
