Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
A15.145.300.Fetal.Blood	1.36982637634e-08	6.72167491616e-09	0.0207787585836	31
Muscle_Skeletal	9.92743686411e-09	4.91538682737e-09	0.0217090514834	31
A10.615.Membranes	1.03686541255e-08	5.61385120425e-09	0.0323752359882	31
A05.360.319.Genitalia..Female	9.48972894109e-09	5.14207206796e-09	0.0324819254914	31
A09.371.729.Retina	8.43751328483e-09	4.58522384095e-09	0.0328728909465	31
A10.272.497.Epidermis	1.07233133334e-08	5.83955410213e-09	0.0331548763142	31
A14.724.557.Nasopharynx	8.87142236609e-09	5.23520409744e-09	0.0450784646729	31
A05.360.319.679.256.Cervix.Uteri	9.05488030139e-09	5.34461592352e-09	0.0451130736887	31
Ovary	7.91735262642e-09	4.73737479029e-09	0.0473358412293	31
Esophagus_Muscularis	8.22117752639e-09	4.96647495341e-09	0.0489283282705	31
A11.118.637.555.567.562.B.Lymphocytes	9.32102440551e-09	5.63250121126e-09	0.0489760275055	31
A07.541.358.100.Atrial.Appendage	7.96911185532e-09	4.84513764101e-09	0.0500091616334	31
A07.541.358.Heart.Atria	7.90991237069e-09	4.83305426955e-09	0.0508541014639	31
