                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  0.9799  0.2077   4.7178   2.3844e-06  0.0487     0.0251  1.0022     0.0063    0.1529       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.7198  0.0726   9.9138   3.6248e-23  0.1397     0.0273  0.9930     0.0064    0.1294       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  0.9508  0.1957   4.8588   1.1813e-06  0.0504     0.0231  0.9946     0.0061    0.1647       0.0042
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  2.0893  2.3294   0.8970   3.6974e-01  0.0097     0.0202  1.0004     0.0054    0.1471       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.5293  1.2286   1.2448   2.1321e-01  0.0141     0.0240  1.0064     0.0061    0.1053       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.8003  0.0916   8.7394   2.3429e-18  0.0995     0.0247  0.9945     0.0064    0.1216       0.0042
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.9024  0.1561   5.7803   7.4564e-09  0.0652     0.0233  1.0019     0.0065    0.1364       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  1.2961  0.7566   1.7131   8.6692e-02  0.0181     0.0224  0.9977     0.0061    0.1029       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.2131  0.4527   2.6795   7.3738e-03  0.0251     0.0203  1.0129     0.0061    0.0898       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.6404  0.0518  12.3603   4.2833e-35  0.1668     0.0243  0.9889     0.0058    0.1298       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.9181  0.0322  28.5295  5.0511e-179  0.1951     0.0262  0.9914     0.0061    0.5371       0.0056
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.9203  0.0338  27.1883  8.9220e-163  0.2174     0.0319  0.9980     0.0066    0.5628       0.0061
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.6590  0.0740   8.9008   5.5469e-19  0.1028     0.0229  0.9930     0.0057    0.1266       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.6661  0.0558  11.9444   6.9480e-33  0.1400     0.0248  0.9942     0.0063    0.1768       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.8357  0.0416  20.0709   1.3257e-89  0.1826     0.0249  0.9940     0.0059    0.3894       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.8563  0.0930   9.2122   3.1949e-20  0.0812     0.0242  0.9995     0.0062    0.3832       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.8676  0.0425  20.4015   1.6219e-92  0.1718     0.0295  0.9954     0.0065    0.4642       0.0061
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.9434  0.0536  17.6108   2.0340e-69  0.1466     0.0264  1.0042     0.0061    0.3826       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.6452  0.0717   9.0050   2.1559e-19  0.1172     0.0254  0.9927     0.0062    0.1269       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  0.7998  0.2305   3.4704   5.1965e-04  0.0357     0.0229  1.0001     0.0056    0.1449       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.6330  0.0584  10.8360   2.3250e-27  0.1240     0.0242  0.9942     0.0065    0.1759       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.7181  0.1265   5.6741   1.3939e-08  0.0574     0.0217  1.0021     0.0061    0.1587       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.7906  0.0454  17.4039   7.7028e-68  0.1502     0.0233  0.9942     0.0063    0.3794       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.7768  0.0522  14.8743   4.8403e-50  0.1869     0.0284  1.0076     0.0067    0.2346       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.9077  0.0928   9.7827   1.3355e-22  0.0782     0.0215  0.9992     0.0059    0.3340       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.9317  0.1873   4.9757   6.4997e-07  0.0457     0.0242  1.0031     0.0060    0.2785       0.0051
