Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	Adipose_Tissue	3520	7	0.0113402532229766	0.340207596689297	ENSG00000140299:ENSG00000139549:ENSG00000187741:ENSG00000078018:ENSG00000258839:ENSG00000204991:ENSG00000108379
DEG.twoside	Adrenal_Gland	5041	5	0.313995180136802	1	ENSG00000187741:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000204991
DEG.twoside	Bladder	948	1	0.510023988306324	1	ENSG00000078018
DEG.twoside	Blood	8508	3	0.97109499423996	1	ENSG00000187741:ENSG00000258839:ENSG00000073969
DEG.twoside	Blood_Vessel	4425	3	0.656096586080984	1	ENSG00000140299:ENSG00000186868:ENSG00000167553
DEG.twoside	Brain	8790	10	0.0866098379229314	1	ENSG00000140299:ENSG00000187741:ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000167553:ENSG00000144406
DEG.twoside	Breast	2985	3	0.382978208713503	1	ENSG00000139549:ENSG00000187741:ENSG00000078018
DEG.twoside	Cervix_Uteri	3076	3	0.402002345169549	1	ENSG00000120071:ENSG00000139636:ENSG00000078018
DEG.twoside	Colon	2967	3	0.379205212445933	1	ENSG00000140297:ENSG00000078018:ENSG00000204991
DEG.twoside	Esophagus	2953	5	0.0612797946724389	1	ENSG00000140297:ENSG00000078018:ENSG00000204991:ENSG00000167553:ENSG00000108379
DEG.twoside	Fallopian_Tube	491	0	1	1	
DEG.twoside	Heart	10049	10	0.178439608044398	1	ENSG00000140299:ENSG00000140995:ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000141002:ENSG00000167553
DEG.twoside	Kidney	6796	5	0.588062543969152	1	ENSG00000140299:ENSG00000120071:ENSG00000078018:ENSG00000073969:ENSG00000108379
DEG.twoside	Liver	9595	12	0.0270247350913141	0.810742052739423	ENSG00000140299:ENSG00000140995:ENSG00000140307:ENSG00000120071:ENSG00000139636:ENSG00000258839:ENSG00000073969:ENSG00000141002:ENSG00000167552:ENSG00000123416:ENSG00000167553:ENSG00000108379
DEG.twoside	Lung	5173	4	0.548539287808155	1	ENSG00000140299:ENSG00000139549:ENSG00000186868:ENSG00000108379
DEG.twoside	Muscle	8051	8	0.227000894039631	1	ENSG00000140995:ENSG00000120071:ENSG00000139636:ENSG00000186868:ENSG00000258839:ENSG00000141002:ENSG00000167552:ENSG00000167553
DEG.twoside	Nerve	6820	6	0.393403034146095	1	ENSG00000139549:ENSG00000187741:ENSG00000139636:ENSG00000186868:ENSG00000204991:ENSG00000108379
DEG.twoside	Ovary	7253	8	0.147303487435158	1	ENSG00000140995:ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000108379
DEG.twoside	Pancreas	10415	12	0.0502294039503171	1	ENSG00000140299:ENSG00000140995:ENSG00000140307:ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000141002:ENSG00000167552:ENSG00000167553
DEG.twoside	Pituitary	7125	9	0.060695842721928	1	ENSG00000140299:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000167553:ENSG00000144406
DEG.twoside	Prostate	4077	3	0.59737271675978	1	ENSG00000078018:ENSG00000258839:ENSG00000108379
DEG.twoside	Salivary_Gland	3769	2	0.787136085340606	1	ENSG00000140297:ENSG00000167553
DEG.twoside	Skin	5291	5	0.353222021711247	1	ENSG00000187741:ENSG00000186868:ENSG00000204991:ENSG00000167553:ENSG00000108379
DEG.twoside	Small_Intestine	4170	5	0.187716068078181	1	ENSG00000187741:ENSG00000140297:ENSG00000078018:ENSG00000186868:ENSG00000204991
DEG.twoside	Spleen	6383	4	0.72573332208833	1	ENSG00000187741:ENSG00000139636:ENSG00000204991:ENSG00000108379
DEG.twoside	Stomach	3731	4	0.296149751643566	1	ENSG00000140297:ENSG00000078018:ENSG00000186868:ENSG00000258839
DEG.twoside	Testis	15330	13	0.316722221014288	1	ENSG00000140995:ENSG00000139549:ENSG00000187741:ENSG00000140307:ENSG00000120071:ENSG00000139636:ENSG00000176681:ENSG00000078018:ENSG00000258839:ENSG00000204991:ENSG00000167553:ENSG00000144406:ENSG00000108379
DEG.twoside	Thyroid	6764	4	0.770653426749891	1	ENSG00000120071:ENSG00000186868:ENSG00000258839:ENSG00000204991
DEG.twoside	Uterus	6435	8	0.0849762216170621	1	ENSG00000140299:ENSG00000139549:ENSG00000187741:ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000108379
DEG.twoside	Vagina	3513	5	0.110516764720543	1	ENSG00000140297:ENSG00000120071:ENSG00000078018:ENSG00000186868:ENSG00000167553
