Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	8_pcw	3145	3	0.949006178396772	1	ENSG00000140307:ENSG00000135451:ENSG00000167553
DEG.up	9_pcw	2670	4	0.755207791086731	1	ENSG00000120071:ENSG00000123352:ENSG00000135451:ENSG00000167553
DEG.up	12_pcw	2310	5	0.434487146896766	1	ENSG00000186665:ENSG00000120071:ENSG00000139636:ENSG00000123352:ENSG00000167553
DEG.up	13_pcw	1757	4	0.417062012190971	1	ENSG00000120071:ENSG00000139636:ENSG00000123352:ENSG00000167553
DEG.up	16_pcw	1215	3	0.396930904982903	1	ENSG00000120071:ENSG00000139636:ENSG00000167553
DEG.up	17_pcw	899	3	0.233719482861542	1	ENSG00000139636:ENSG00000258839:ENSG00000167553
DEG.up	19_pcw	937	3	0.252856941524566	1	ENSG00000139636:ENSG00000258839:ENSG00000167553
DEG.up	21_pcw	823	2	0.457800167249701	1	ENSG00000186665:ENSG00000167553
DEG.up	24_pcw	754	3	0.164220001509811	1	ENSG00000186665:ENSG00000139636:ENSG00000167553
DEG.up	26_pcw	10	0	1	1	
DEG.up	37_pcw	2066	2	0.911243255559829	1	ENSG00000186665:ENSG00000161791
DEG.up	4_mos	550	0	1	1	
DEG.up	10_mos	258	0	1	1	
DEG.up	1_yrs	920	2	0.517425980273474	1	ENSG00000073969:ENSG00000144406
DEG.up	2_yrs	754	0	1	1	
DEG.up	3_yrs	1411	0	1	1	
DEG.up	4_yrs	262	0	1	1	
DEG.up	8_yrs	845	2	0.471670523562698	1	ENSG00000073969:ENSG00000181929
DEG.up	11_yrs	648	1	0.708264791075341	1	ENSG00000073969
DEG.up	13_yrs	751	0	1	1	
DEG.up	15_yrs	150	2	0.0316749310405702	0.918573000176537	ENSG00000073969:ENSG00000144406
DEG.up	18_yrs	825	0	1	1	
DEG.up	19_yrs	995	2	0.560652169279906	1	ENSG00000073969:ENSG00000144406
DEG.up	21_yrs	1128	2	0.630707785497074	1	ENSG00000073969:ENSG00000144406
DEG.up	23_yrs	936	0	1	1	
DEG.up	30_yrs	1389	2	0.743519087774771	1	ENSG00000073969:ENSG00000167550
DEG.up	36_yrs	746	3	0.160596901127941	1	ENSG00000238083:ENSG00000073969:ENSG00000144406
DEG.up	37_yrs	938	2	0.528037550739605	1	ENSG00000073969:ENSG00000144406
DEG.up	40_yrs	641	1	0.704280661117085	1	ENSG00000144406
DEG.down	8_pcw	1190	2	0.660429370839203	1	ENSG00000120088:ENSG00000073969
DEG.down	9_pcw	1187	1	0.8991388149955	1	ENSG00000120088
DEG.down	12_pcw	1804	1	0.971410733697562	1	ENSG00000120088
DEG.down	13_pcw	1794	2	0.861628768169313	1	ENSG00000120088:ENSG00000073969
DEG.down	16_pcw	1197	1	0.901140149526896	1	ENSG00000073969
DEG.down	17_pcw	384	0	1	1	
DEG.down	19_pcw	558	0	1	1	
DEG.down	21_pcw	514	1	0.622144475450922	1	ENSG00000073969
DEG.down	24_pcw	438	0	1	1	
DEG.down	26_pcw	28	0	1	1	
DEG.down	37_pcw	926	1	0.830568278393348	1	ENSG00000167548
DEG.down	4_mos	433	1	0.558639773999368	1	ENSG00000120071
DEG.down	10_mos	518	1	0.625039473487685	1	ENSG00000186665
DEG.down	1_yrs	1016	2	0.57228151176201	1	ENSG00000186665:ENSG00000139636
DEG.down	2_yrs	4316	9	0.413213840024528	1	ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000123352:ENSG00000198369:ENSG00000141002:ENSG00000167553
DEG.down	3_yrs	2598	5	0.543817874335885	1	ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000123352:ENSG00000167553
DEG.down	4_yrs	74	0	1	1	
DEG.down	8_yrs	1535	2	0.793313113460732	1	ENSG00000120071:ENSG00000139636
DEG.down	11_yrs	910	2	0.511467363836078	1	ENSG00000186665:ENSG00000139636
DEG.down	13_yrs	1375	3	0.478036041159205	1	ENSG00000186665:ENSG00000139636:ENSG00000167553
DEG.down	15_yrs	69	0	1	1	
DEG.down	18_yrs	2450	4	0.688715796730285	1	ENSG00000120071:ENSG00000139636:ENSG00000123352:ENSG00000167553
DEG.down	19_yrs	1211	1	0.903877508420768	1	ENSG00000186665
DEG.down	21_yrs	1392	3	0.486410348117065	1	ENSG00000186665:ENSG00000139636:ENSG00000167553
DEG.down	23_yrs	1081	3	0.327188705505792	1	ENSG00000186665:ENSG00000139636:ENSG00000167553
DEG.down	30_yrs	1901	2	0.88350060530631	1	ENSG00000186665:ENSG00000140307
DEG.down	36_yrs	1450	3	0.514539094079811	1	ENSG00000186665:ENSG00000140307:ENSG00000167553
DEG.down	37_yrs	816	2	0.453346503702491	1	ENSG00000186665:ENSG00000167553
DEG.down	40_yrs	1105	2	0.619207004709678	1	ENSG00000120071:ENSG00000167553
DEG.twoside	8_pcw	4335	5	0.934346317620498	1	ENSG00000120088:ENSG00000140307:ENSG00000073969:ENSG00000135451:ENSG00000167553
DEG.twoside	9_pcw	3857	5	0.876081943848215	1	ENSG00000120088:ENSG00000120071:ENSG00000123352:ENSG00000135451:ENSG00000167553
DEG.twoside	12_pcw	4114	6	0.813472763386547	1	ENSG00000186665:ENSG00000120088:ENSG00000120071:ENSG00000139636:ENSG00000123352:ENSG00000167553
DEG.twoside	13_pcw	3551	6	0.674662334211392	1	ENSG00000120088:ENSG00000120071:ENSG00000139636:ENSG00000073969:ENSG00000123352:ENSG00000167553
DEG.twoside	16_pcw	2412	4	0.676134593780356	1	ENSG00000120071:ENSG00000139636:ENSG00000073969:ENSG00000167553
DEG.twoside	17_pcw	1283	3	0.431838589435822	1	ENSG00000139636:ENSG00000258839:ENSG00000167553
DEG.twoside	19_pcw	1495	3	0.535851160720342	1	ENSG00000139636:ENSG00000258839:ENSG00000167553
DEG.twoside	21_pcw	1337	3	0.459123750809501	1	ENSG00000186665:ENSG00000073969:ENSG00000167553
DEG.twoside	24_pcw	1192	3	0.385019975357064	1	ENSG00000186665:ENSG00000139636:ENSG00000167553
DEG.twoside	26_pcw	38	0	1	1	
DEG.twoside	37_pcw	2992	3	0.934961150948156	1	ENSG00000186665:ENSG00000161791:ENSG00000167548
DEG.twoside	4_mos	983	1	0.8486060966268	1	ENSG00000120071
DEG.twoside	10_mos	776	1	0.772580737193745	1	ENSG00000186665
DEG.twoside	1_yrs	1936	4	0.494136752691627	1	ENSG00000186665:ENSG00000139636:ENSG00000073969:ENSG00000144406
DEG.twoside	2_yrs	5070	9	0.634168235996137	1	ENSG00000120071:ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000123352:ENSG00000198369:ENSG00000141002:ENSG00000167553
