# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 13876
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13876   0.00063536      0.01877   0.00038448     0.049232
9_pcw        COVAR   13876   0.00088441     0.021447   0.00047015     0.029992
12_pcw       COVAR   13876    0.0010515     0.029371   0.00046324     0.011615
13_pcw       COVAR   13876     0.001016     0.029672   0.00044266     0.010873
16_pcw       COVAR   13876    0.0013679     0.035894   0.00054146    0.0057711
17_pcw       COVAR   13876    0.0013289     0.033812   0.00058348     0.011388
19_pcw       COVAR   13876   0.00082395     0.026286   0.00041626     0.023899
21_pcw       COVAR   13876    0.0015955     0.040688   0.00059913    0.0038785
24_pcw       COVAR   13876   0.00096677     0.028538    0.0005292     0.033875
26_pcw       COVAR   13876   0.00027559    0.0058187   0.00086232      0.37464
37_pcw       COVAR   13876  -0.00041045    -0.012681   0.00051228      0.78849
4_mos        COVAR   13876   -0.0033735    -0.090143    0.0010587      0.99928
10_mos       COVAR   13876   6.0537e-05    0.0018127   0.00067063      0.46404
1_yrs        COVAR   13876  -0.00090823    -0.021003    0.0007861      0.87602
2_yrs        COVAR   13876   -0.0002188    -0.004702   0.00052437      0.66175
3_yrs        COVAR   13876  -0.00016984   -0.0043007   0.00061259      0.60921
4_yrs        COVAR   13876  -0.00040785    -0.014059   0.00045321      0.81591
8_yrs        COVAR   13876  -0.00073366    -0.021596   0.00074841      0.83652
11_yrs       COVAR   13876  -0.00010647   -0.0027841   0.00071551      0.55914
13_yrs       COVAR   13876  -0.00073405    -0.016752   0.00088931      0.79542
15_yrs       COVAR   13876   0.00048115     0.011156   0.00076767      0.26541
18_yrs       COVAR   13876  -0.00059062    -0.012739   0.00075526      0.78288
19_yrs       COVAR   13876  -0.00043638    -0.011187   0.00069475      0.73503
21_yrs       COVAR   13876   0.00053508     0.012519   0.00074615      0.23666
23_yrs       COVAR   13876   0.00059725     0.013232   0.00088906      0.25087
30_yrs       COVAR   13876  -0.00048177     -0.01396   0.00058121      0.79641
36_yrs       COVAR   13876  -0.00065884    -0.013944   0.00087374      0.77458
37_yrs       COVAR   13876  -0.00025091   -0.0054034   0.00083594      0.61797
40_yrs       COVAR   13876  -0.00039574     -0.01131   0.00065308      0.72772
