Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Prostate	3333	5	0.668997241345793	1	ENSG00000185324:ENSG00000138080:ENSG00000044524:ENSG00000123243:ENSG00000258839
DEG.up	Skin_Not_Sun_Exposed_Suprapubic	2760	2	0.952134046253091	1	ENSG00000100592:ENSG00000108379
DEG.up	Skin_Sun_Exposed_Lower_leg	2825	3	0.863577404171064	1	ENSG00000100592:ENSG00000120071:ENSG00000108379
DEG.up	Small_Intestine_Terminal_Ileum	2786	5	0.504927289046434	1	ENSG00000015413:ENSG00000187741:ENSG00000119514:ENSG00000138030:ENSG00000204991
DEG.up	Spleen	4308	9	0.290736439987139	1	ENSG00000185324:ENSG00000115163:ENSG00000015413:ENSG00000138080:ENSG00000189319:ENSG00000187741:ENSG00000163792:ENSG00000075399:ENSG00000158805
DEG.up	Stomach	1109	1	0.849345024223154	1	ENSG00000119514
DEG.up	Testis	12379	24	0.215269697079055	1	ENSG00000143994:ENSG00000084693:ENSG00000186143:ENSG00000115163:ENSG00000177946:ENSG00000178773:ENSG00000165617:ENSG00000015413:ENSG00000157851:ENSG00000189319:ENSG00000187741:ENSG00000170820:ENSG00000141013:ENSG00000120071:ENSG00000185261:ENSG00000258839:ENSG00000203791:ENSG00000126856:ENSG00000260259:ENSG00000167523:ENSG00000204991:ENSG00000163792:ENSG00000075399:ENSG00000108379
DEG.up	Thyroid	5722	18	0.00407445793044966	0.220020728244282	ENSG00000084693:ENSG00000221819:ENSG00000185324:ENSG00000165617:ENSG00000044524:ENSG00000189319:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000107902:ENSG00000258839:ENSG00000203791:ENSG00000260259:ENSG00000158792:ENSG00000167523:ENSG00000204991:ENSG00000158805
DEG.up	Uterus	5589	11	0.328720947559002	1	ENSG00000084693:ENSG00000138028:ENSG00000120088:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000189319:ENSG00000120071:ENSG00000138030:ENSG00000203791:ENSG00000163792
DEG.up	Vagina	2864	4	0.718612763866652	1	ENSG00000100592:ENSG00000044524:ENSG00000120071:ENSG00000163792
DEG.up	Whole_Blood	2073	2	0.87033092670411	1	ENSG00000158792:ENSG00000075399
DEG.down	Adipose_Subcutaneous	1541	5	0.11455764238895	1	ENSG00000003249:ENSG00000187741:ENSG00000107902:ENSG00000204991:ENSG00000108379
DEG.down	Adipose_Visceral_Omentum	1661	8	0.00606740443668919	0.327639839581216	ENSG00000003249:ENSG00000187741:ENSG00000119514:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000204991
DEG.down	Adrenal_Gland	3492	9	0.124445266175832	1	ENSG00000100592:ENSG00000165617:ENSG00000187741:ENSG00000119514:ENSG00000084764:ENSG00000186868:ENSG00000258839:ENSG00000167523:ENSG00000204991
DEG.down	Artery_Aorta	1473	2	0.713507908849745	1	ENSG00000189319:ENSG00000186868
DEG.down	Artery_Coronary	954	5	0.0214116223332006	1	ENSG00000143994:ENSG00000003249:ENSG00000015413:ENSG00000119514:ENSG00000186868
DEG.down	Artery_Tibial	2044	8	0.0196049556028051	1	ENSG00000177946:ENSG00000138028:ENSG00000003249:ENSG00000189319:ENSG00000119514:ENSG00000186868:ENSG00000258839:ENSG00000075399
DEG.down	Bladder	105	0	1	1	
DEG.down	Brain_Amygdala	7751	14	0.423671249058442	1	ENSG00000084693:ENSG00000185324:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000165660:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000141002:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Anterior_cingulate_cortex_BA24	6725	13	0.328926302380124	1	ENSG00000084693:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000165660:ENSG00000189319:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Caudate_basal_ganglia	6927	11	0.632734401211114	1	ENSG00000084693:ENSG00000185324:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000165660:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Cerebellar_Hemisphere	2646	2	0.94321660439148	1	ENSG00000138080:ENSG00000123243
DEG.down	Brain_Cerebellum	2778	2	0.95341645469318	1	ENSG00000138080:ENSG00000123243
DEG.down	Brain_Cortex	5617	9	0.614569234708272	1	ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000119777
DEG.down	Brain_Frontal_Cortex_BA9	5080	9	0.484099136019194	1	ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Hippocampus	7571	16	0.179543865596417	1	ENSG00000084693:ENSG00000185324:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000165660:ENSG00000119514:ENSG00000141013:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000203791:ENSG00000138073:ENSG00000141002:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Hypothalamus	5967	11	0.415448213546634	1	ENSG00000084693:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Nucleus_accumbens_basal_ganglia	6479	12	0.40003835977775	1	ENSG00000084693:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000165660:ENSG00000189319:ENSG00000123243:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000119777:ENSG00000158805
DEG.down	Brain_Putamen_basal_ganglia	7853	14	0.445391218829749	1	ENSG00000084693:ENSG00000185324:ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000165660:ENSG00000141013:ENSG00000120071:ENSG00000258839:ENSG00000138073:ENSG00000167523:ENSG00000119777:ENSG00000108379:ENSG00000158805
