# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 14077
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14077    0.0006153     0.018118   0.00037124     0.048731
9_pcw        COVAR   14077    0.0011234     0.027262   0.00045958    0.0072601
12_pcw       COVAR   14077   0.00072669     0.020252   0.00043978     0.049241
13_pcw       COVAR   14077   0.00063795      0.01861   0.00041654     0.062829
16_pcw       COVAR   14077   0.00091938     0.024078   0.00051736     0.037792
17_pcw       COVAR   14077     0.001113     0.028271   0.00056901     0.025243
19_pcw       COVAR   14077   0.00063297     0.020136   0.00039897     0.056325
21_pcw       COVAR   14077    0.0010321     0.026273   0.00059821     0.042246
24_pcw       COVAR   14077   0.00093061     0.027419   0.00051797     0.036209
26_pcw       COVAR   14077   0.00029287    0.0061595    0.0009074      0.37344
37_pcw       COVAR   14077   0.00053741     0.016461   0.00053533      0.15773
4_mos        COVAR   14077    -0.000784    -0.020925      0.00112      0.75803
10_mos       COVAR   14077  -0.00041012    -0.012395   0.00068317      0.72585
1_yrs        COVAR   14077  -0.00066692    -0.015434   0.00079759      0.79846
2_yrs        COVAR   14077  -0.00038873   -0.0083035   0.00054327      0.76286
3_yrs        COVAR   14077  -0.00096238    -0.024292    0.0006299      0.93671
4_yrs        COVAR   14077  -0.00040435    -0.013947   0.00046139      0.80958
8_yrs        COVAR   14077   -0.0010371    -0.030569   0.00074792      0.91721
11_yrs       COVAR   14077  -0.00045797    -0.011997   0.00074003      0.73199
13_yrs       COVAR   14077   -0.0013302     -0.03029   0.00086987      0.93688
15_yrs       COVAR   14077   -0.0012524    -0.029044   0.00078425      0.94485
18_yrs       COVAR   14077  -0.00090811    -0.019513   0.00074986      0.88705
19_yrs       COVAR   14077  -0.00086007    -0.022047   0.00068066       0.8968
21_yrs       COVAR   14077   -0.0011275     -0.02636   0.00076195      0.93051
23_yrs       COVAR   14077   -0.0016597    -0.036637   0.00090537       0.9666
30_yrs       COVAR   14077   -0.0005614    -0.016281   0.00056819      0.83843
36_yrs       COVAR   14077    -0.001333     -0.02822   0.00087306      0.93658
37_yrs       COVAR   14077   -0.0010939    -0.023507   0.00083347       0.9053
40_yrs       COVAR   14077  -0.00072295    -0.020663   0.00065238       0.8661
