Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	19_pcw	1495	5	0.102619263178737	1	ENSG00000100592:ENSG00000258839:ENSG00000167523:ENSG00000204991:ENSG00000075399
DEG.twoside	21_pcw	1337	4	0.185671578531121	1	ENSG00000186665:ENSG00000100592:ENSG00000073969:ENSG00000204991
DEG.twoside	24_pcw	1192	2	0.607468343130637	1	ENSG00000186665:ENSG00000100592
DEG.twoside	26_pcw	38	0	1	1	
DEG.twoside	37_pcw	2992	2	0.972454374823537	1	ENSG00000186665:ENSG00000137801
DEG.twoside	4_mos	983	1	0.819265871204005	1	ENSG00000120071
DEG.twoside	10_mos	776	1	0.738677458942517	1	ENSG00000186665
DEG.twoside	1_yrs	1936	2	0.854245501915067	1	ENSG00000186665:ENSG00000073969
DEG.twoside	2_yrs	5070	9	0.498654503287966	1	ENSG00000177946:ENSG00000100592:ENSG00000003249:ENSG00000120071:ENSG00000186868:ENSG00000073969:ENSG00000139970:ENSG00000167523:ENSG00000141002
DEG.twoside	3_yrs	4009	5	0.840983213239948	1	ENSG00000177946:ENSG00000100592:ENSG00000120071:ENSG00000167523:ENSG00000137801
DEG.twoside	4_yrs	336	0	1	1	
DEG.twoside	8_yrs	2380	7	0.0965651312799037	1	ENSG00000100592:ENSG00000187741:ENSG00000120071:ENSG00000073969:ENSG00000204991:ENSG00000137801:ENSG00000158805
DEG.twoside	11_yrs	1558	4	0.266517290037804	1	ENSG00000186665:ENSG00000100592:ENSG00000073969:ENSG00000137801
DEG.twoside	13_yrs	2126	3	0.714326133424892	1	ENSG00000186665:ENSG00000100592:ENSG00000137801
DEG.twoside	15_yrs	219	1	0.310981360957794	1	ENSG00000073969
DEG.twoside	18_yrs	3275	2	0.983113745549303	1	ENSG00000100592:ENSG00000120071
DEG.twoside	19_yrs	2206	3	0.738733213256614	1	ENSG00000186665:ENSG00000100592:ENSG00000073969
DEG.twoside	21_yrs	2520	3	0.819694551845465	1	ENSG00000186665:ENSG00000073969:ENSG00000137801
DEG.twoside	23_yrs	2017	2	0.870478612173198	1	ENSG00000186665:ENSG00000100592
DEG.twoside	30_yrs	3290	6	0.490627224517757	1	ENSG00000186665:ENSG00000100592:ENSG00000003249:ENSG00000140995:ENSG00000073969:ENSG00000075399
DEG.twoside	36_yrs	2196	4	0.517775509184868	1	ENSG00000186665:ENSG00000100592:ENSG00000238083:ENSG00000073969
DEG.twoside	37_yrs	1754	6	0.069075482849786	1	ENSG00000221819:ENSG00000186665:ENSG00000100592:ENSG00000141013:ENSG00000073969:ENSG00000137801
DEG.twoside	40_yrs	1746	2	0.809106742432171	1	ENSG00000100592:ENSG00000120071
