ensg	symbol	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
ENSG00000119514	GALNT12	0.479648548055714	-0.408617577477925	-0.737540097899423	0.21590287870963	-1.03278199278707	-0.864595976048373	1.75249899121181	-1.6599921041493	-1.58945090848976	-1.65610459359767	2.66478161052063	2.73036883388572	-1.27387702713287	-1.29944064870648	-1.36955233672402	-0.9709957236812	-1.75136471579856	-1.66356559161547	-1.09828199189391	-1.17156793073152	-0.00413718001380068	-0.282440674516596	-1.21315004533281	0.760316600303931	0.403092936881066	2.42676858279685	2.6446149080417	1.45048510766236	2.14582959588816	1.79842282759712	0.15325030349815	-1.49427817397894	-2.01586972554389	-0.763961567324784	-0.636336083069718	-2.23590175792706	0.98177327447794	2.16257879457499	-2.03169172742499	0.113289975743472	-1.70871137645118	0.468477415937594	0.167625002669554	0.0979205541741656	-0.328131873964644	0.100456329233244	1.99921600436827	-0.599204078578686	2.38104731013288	0.479976247916513	1.87108688839532	-0.352728012543583	0.558217174954202	-1.60283883826116
ENSG00000100592	DAAM1	0.530398268262113	0.208396251580389	-0.778272853806709	0.976360435459861	1.3752364819499	0.788939495212636	0.397094761106235	-0.78272773985442	-0.489101329408679	-0.991443977443214	0.536151401899157	0.335652432597225	-0.508527699560336	-0.202790805016103	-0.961228831418964	-0.491439655371088	-1.21028107344255	-1.46602326213581	-1.04255737986883	-1.2271617855424	0.287105904704998	-0.48640956140015	0.225492661089049	1.14323289305355	0.49480654283149	0.852526750941105	-0.00853051728441723	1.11262932418694	0.938879218639588	1.35061093826772	0.481231569729816	0.507697289005826	-0.655503909365738	-1.32922059918418	-0.863502318739924	-1.03119840456639	0.754666651100957	0.109969947586575	-1.97984334138962	0.414141413060283	0.275115923792422	-1.46856442315985	-0.208442401760313	0.228196993910572	1.5498737991208	1.58431976185732	-0.169184850961903	0.0714846422992325	-0.570146823194455	-0.0798237638731651	0.086696060719403	0.845886935173902	1.16485350712457	-2.94081946933787
ENSG00000185324	CDK10	-0.0230829164354178	0.14230322065136	0.286089846082811	-0.017264133679712	0.145407888892758	-0.290571286076828	0.426410367020111	-0.801581465603171	-0.37358188823865	-0.548626026151173	0.529820003502351	0.681525740396876	0.159089432045607	-0.0540544155365653	-0.591186226765762	-0.415990560535979	-0.285242502469608	-0.793363773667384	-0.945332465628519	-1.09616765049546	0.360303086665609	-0.018649181667017	-0.115380938290324	0.591575626445323	0.813697966252987	0.280522616795677	0.478643225644527	0.124353064252595	0.277339808117991	0.0379356528443977	0.595043170990791	-1.03606721354429	-1.49632387084406	0.437956562302342	0.391222698083751	0.45023997549758	0.637019629240607	0.12630169135738	-1.44371399392116	0.485632308217659	0.702224547355013	-0.138987482767062	0.945718540126588	0.799792923016833	0.463684276520979	0.266867110798334	0.660279039854017	0.817428250412343	0.278122044701924	0.665621564857278	0.963267528508705	0.703752581762253	0.588975001591595	-1.29074303787043
ENSG00000158792	SPATA2L	-0.23963312123881	0.134315626807535	-0.432321946827028	0.541743135070214	0.199835261523473	0.26083760101977	-0.290899438469811	-0.30798235940228	0.234896281244016	0.188236611980982	0.51227760768414	0.579567319222411	0.677498985692269	0.567768395206862	-0.14980108463519	-0.30300212999024	0.164276795168972	0.0523220236968424	-1.14156133817363	-1.27900166212553	0.0108436278083427	-0.0666328074219547	-0.188702945471384	-0.198567686720764	0.104531058717078	-0.347598639911451	-0.0686455546016861	0.0408753002219602	-0.124727425847915	0.151745990447647	0.564400779336173	-1.0909696198271	-1.5287623415025	0.0736633940295537	0.472571264504631	-0.00241842029697548	0.60987441639376	-0.0272465615864997	-2.23890368444783	0.262252920519333	0.177191330018975	0.00949632523408178	1.576177918076	0.334723536432842	0.326986293786522	0.37337565196981	0.241230826118709	0.201567152443589	-0.0354129035815459	0.314030729601175	0.770062996850939	0.441093706576969	-0.363732604432379	0.581403734926853
ENSG00000075399	VPS9D1	-0.274176400837683	-0.0964810241762436	0.624687923331142	-0.205701649957104	-0.149600703827013	-0.74059766077833	-0.032804801524028	0.0240933859143762	0.593925663636973	0.00159034923982328	1.12614029415913	1.19405537463478	1.03471367608825	0.869903749044328	0.0460267688172858	0.414808337223234	0.0893127340847272	-0.308359307940639	-0.109409962666983	-0.182680597584324	-0.206851634326557	-0.431916388749464	-1.79580957098072	0.321100753096019	0.502486218927699	-0.160956765927562	-0.0860951358686664	-0.323705840260446	0.910121265757206	-0.264408725168544	0.256397704360294	-0.695237784912807	-1.23878909505965	0.0342892219251641	0.452455353940682	-0.117619091613372	0.533092744037102	0.0196718098553685	-1.6726882112345	0.582632552068744	0.0902420189927974	-1.30405728693104	1.20280496001391	0.42911816423761	-0.170587112209081	-0.0526294998221004	0.280359146317744	0.990673531796219	-0.416561073574073	0.951734785468076	0.737312092338641	0.188837968148936	0.422184238341874	0.83661405124605
ENSG00000158805	ZNF276	0.0608145764129695	-0.0384001900346913	-0.0531716738435352	-0.13152618983005	-0.0172203461658404	-0.230455544514653	0.248705971821409	-1.01418235561599	-0.999121911162866	-0.738584715423766	1.05401437837214	1.29108281870865	-0.250559659472329	-0.697948725579488	-0.80160048617188	-0.80389367324857	-0.791030275565652	-0.884792504025448	-0.167888566446149	-0.88691311501046	0.168491789793185	-0.518456919440046	-0.0856998011206603	0.72350662290718	0.82904573397429	-0.0201891415342527	0.0658359862535184	-0.113624325138263	0.576557753490774	-0.175694060668622	0.796862723452208	-1.07837100569027	-1.57494473759413	-0.569314851616751	-0.106668759234702	-0.813468024737761	0.57892316137741	0.000226825680579704	-1.13186613827927	1.04137093307711	0.939255160999361	-0.986007957891634	0.673243020246896	0.598405425184316	0.61470128263338	0.666147709748196	0.660289299737903	1.21538227642457	-0.242116879149698	0.418411632693621	0.773463446365221	0.656056654852731	0.722738917190459	0.392321090669173
ENSG00000187741	FANCA	-0.241850046864645	-0.320315949366153	-0.251856393150954	-0.614541982362001	-0.430733088473518	-0.857153226060754	-0.314723953785927	-0.708078433761755	-0.450023427694493	-0.509058097129621	1.02195216036895	1.11147852953506	-0.0313031773157005	-0.102127381916213	-0.774360204932162	-0.74399182466215	-0.462269547685807	-0.656828020448812	-0.686747464726976	-0.86857566739296	-0.187368420182378	1.76396270827108	3.1673334410057	-0.132057706731886	-0.346800966786502	-0.604005050115757	0.456260683611051	-0.778003502862596	1.15523092867596	-0.756531902575908	-0.259541520385547	-0.642687145328761	-0.93846871336629	-0.513670429083624	-0.130631836785416	-0.0447195919837602	0.637864728320959	0.000448186041833257	-1.04823552550863	-0.32608634698397	-0.157996222710664	-0.63697653946111	-0.0104079394679679	-0.0851356182250106	0.412177309001355	0.321919295094158	0.994354971114282	1.23391207540474	-0.111731751765642	3.37936133358421	0.0442274766995532	-0.263532557904228	0.373315495564197	0.257424463819428
ENSG00000204991	SPIRE2	-0.594804494276054	-0.302478245360671	-0.225823387302034	-1.3657889845484	-1.16342930325403	-1.47097014317354	0.750403455489907	0.833970511409196	1.436862413597	1.18843651098955	3.32797152301868	3.33525398851992	1.91400573360661	1.78418348869608	0.694654130649132	1.27182424699882	1.34182768781599	0.781134195791102	0.0694257495269928	0.469306496574512	-0.0470152474117485	-0.52003594183641	-1.55365359157577	-0.16355726626832	0.148141903429018	-0.197884236824245	1.61326861979645	-0.61230744637953	0.131723873076838	-0.420738968154408	0.881645763327	-1.1390843988268	-1.4773593040697	-0.182111679794881	0.551146428949347	0.150180638227438	0.286894579650625	0.0934617275790927	-1.65633132686309	-0.814979278763157	0.075790093094422	-0.783595082966059	2.97005170706133	0.932835514381506	-0.108273324422866	-0.215466243499375	1.25113683025247	-0.61050945364837	0.696442960681314	1.58128112793793	1.68700828900379	-0.131315425463734	0.179739800901812	-1.45384057816244
ENSG00000141002	TCF25	0.24208458874567	0.145120915888478	0.206459462040008	0.257649097545745	0.233145915466294	0.257617263719429	0.241387510060321	-0.680943712140982	-0.291229658149702	-0.44746605090377	0.179223836884038	0.217668287451768	0.0407203075933248	-0.0200343717629613	-0.694201084815547	-0.306756844862927	-0.31096744412404	-0.627647293061696	-0.33046030084736	-0.626564730331774	0.224770199340052	0.247835559263902	0.219663688233181	0.210069549959847	0.257954713370608	0.238102448493321	0.15838141469132	0.20620517824302	0.0628763581421732	0.216513210321845	0.257954713370608	-0.519137154582548	-1.19691987039023	-0.458832818390808	-0.240128747553076	-0.784108851059112	0.255127139255524	0.182870109308388	-0.599342753526991	0.257874280777015	0.25683311072128	-0.682026344793127	0.256647497347522	0.243234721440389	0.231036133585423	0.23959529917103	0.190589502721295	0.252294513314632	0.0733081220282181	0.255125570685073	0.256523260720437	0.257690335165001	0.233256062224388	-0.252003995331674
ENSG00000258839	MC1R	-0.0895757905317964	-0.195679566378067	-0.277412461981901	0.30364975392354	0.0310490750492379	-0.313604045370852	0.544857449104739	-1.21659193767697	-1.0413529778009	-0.560972729873821	2.21996914859207	2.36280680633669	-0.537341550537449	-0.702058591728139	-1.16797680059045	-0.510453241866974	-0.54643819728501	-0.790192909662483	-0.945033253684145	-1.23963514302483	-0.00368338385193866	-0.220409707983735	-1.52261276381627	0.464975393105292	1.17454668828439	0.482496494724829	-0.0318567925453575	0.264099092120688	-0.593297763333118	0.257706722440138	1.30471514308447	-0.635127371447992	-1.18972316402384	0.068487109210458	0.315210644020191	-1.373635363996	0.35292779553841	0.419000545238382	-1.67416890640263	0.482685833686158	1.26228418391612	-0.996032505138948	2.44147898553302	1.07994904623973	0.102751099322604	0.373786737161427	0.504977431064956	0.27117735132632	-0.298096670934109	2.95281954535991	2.12032459421931	0.714658670095328	0.433747724641655	-0.951626291038265
