ensg	symbol	Adipose_Tissue	Adrenal_Gland	Bladder	Blood	Blood_Vessel	Brain	Breast	Cervix_Uteri	Colon	Esophagus	Fallopian_Tube	Heart	Kidney	Liver	Lung	Muscle	Nerve	Ovary	Pancreas	Pituitary	Prostate	Salivary_Gland	Skin	Small_Intestine	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina
ENSG00000119514	GALNT12	2.58297395164881	1.76491485213362	4.25495394124486	0.972604109586237	1.95726785880727	1.79078837774359	2.49831777001924	3.07475909590389	5.04276089874698	4.34401557100455	2.65570525353119	0.746472304188758	1.74422935952871	0.266553192105985	3.48422822451098	0.470763222608048	2.61574492577652	0.793743573581867	2.97093236597064	2.6700799527026	2.60037550420721	4.66503374460803	2.35313385272044	4.50167095440131	1.90325087145436	4.88350226016592	2.98243119794956	4.37354183842836	2.14972693748946	3.06067212498725
ENSG00000100592	DAAM1	4.17998227576243	3.01599810637202	4.19136572128497	1.44649595875721	4.74926073479492	3.17046943200857	4.08137686488373	4.59622682679962	4.19803102190346	4.92498279140569	4.27550252990855	3.71834116707478	2.4859815196662	2.76307255561234	4.54893761127969	1.81442761878911	4.20841237323901	4.06938688397115	2.32570653701889	3.58582855841842	4.0224679540893	3.90424090776531	4.7901700805686	3.62508610921683	3.86575560247796	3.22412413698428	3.71444719630557	3.88096702089814	4.64015789535263	4.9591244673033
ENSG00000185324	CDK10	4.74548184301306	4.98034073496323	5.12066125590053	3.62365102143727	4.57049884761876	4.40995810478277	5.05455397554603	5.40273300996135	5.07803020297087	4.84656428252407	5.28929405987121	3.42725350581987	5.13010705279091	5.144490864378	5.33127051812102	3.25053689495926	5.17988319709808	5.39647543623543	4.55526340611336	5.639969429007	5.49404381189725	4.8205525802378	4.94728569271023	5.35452992873443	5.51167913929276	4.97237293358234	5.3598724537377	5.65751841738912	5.39800347064267	5.28322589047201
ENSG00000158792	SPATA2L	3.09702987554058	2.73631258426044	2.87773509261766	3.60579869401293	3.50940518771074	3.23797868615362	3.17947815889581	3.12959249986031	2.96642093948894	3.18541909947375	3.73303531042364	1.85800584533264	3.26022636873388	3.16621611079049	3.77850894748123	0.929730846639635	3.4308874516068	3.34582586110644	3.17813085632155	4.74481244916347	3.50335806752031	3.14138796950097	3.40393199849334	3.40986535720618	3.37020168353106	3.13322162750592	3.48266526068864	3.93869752793841	3.60972823766444	2.80490192665509
ENSG00000075399	VPS9D1	4.2206690317846	5.03968850647349	4.38219578161832	4.7585665070822	3.95373951138506	4.82868747252951	4.20814894881579	4.83156737088662	4.29306027652661	4.58632038863424	4.67139828750264	3.44704018965412	4.46808378852888	4.29738149152898	4.94809332717945	2.74231237190785	4.99763313521109	4.50524260213515	3.11094329621131	5.61780554315626	4.84411874737996	4.43467239299772	4.21731470415987	4.69535972946009	5.40567411493857	3.99843950956828	5.36673536861043	5.15231267548099	4.60383855129129	4.83718482148422
ENSG00000158805	ZNF276	4.15281350021273	4.08340797142482	4.38528561708976	4.43936829764751	3.97647161298401	3.74674395469185	4.30507143506154	4.91563316873717	4.16122516597009	4.26592081482973	4.93344236872056	2.80905666259496	3.58805787645529	3.32311162053059	4.71550280664576	3.00471350698908	5.17795057834547	5.07583480626772	3.15057168737672	4.80982266551525	4.73498507045267	4.13680647094893	4.45551100615628	4.79686894500626	5.35196192169293	3.89446276611866	4.55499127796198	4.91004309163358	4.79263630012109	4.85931856245881
ENSG00000187741	FANCA	1.03843825590966	1.06368942893673	1.00082186830176	2.11799091241993	0.613560304115919	1.07522430180989	1.12817740190531	1.070465346906	1.26413112870246	1.28771739441647	1.05600430170214	0.52445259384114	0.819090610635442	1.27082623010393	1.95341055040864	0.267310296579056	0.989459475103716	1.15754959937702	0.678569282626576	1.30513788261972	1.23041020386267	1.31599400812952	2.06936435468384	2.30990079320197	2.54945789749242	1.20381407032204	4.69490715567189	1.35977329878724	1.05201326418346	1.68886131765188
ENSG00000204991	SPIRE2	1.39677471624895	1.6344032479213	2.61063009071324	0.387691262298862	0.478580883140983	3.37897469135141	1.81321138781158	1.86072156353256	2.60628085769049	1.60196427436921	2.74187239855033	0.551415454671871	1.71107037604617	2.01040727345077	2.14712121487395	0.203895308360237	1.04524735646017	1.93601672831775	1.07663155225727	4.83027834228466	2.79306214960483	1.95368836280242	1.59569538075676	3.1113634654758	1.24971718157496	2.55666959590464	3.44150776316126	3.54723492422712	1.72891120975959	2.03996643612514
ENSG00000141002	TCF25	5.61298599225043	5.6209300906409	5.65585813866121	5.25080912728459	5.66769885009726	5.14529095270675	5.63924082794094	5.64974289614535	5.61102398887391	5.56929943408586	5.6724253419715	4.5552613099894	4.96546720665223	4.63036177754178	5.66959776785641	4.8151278750739	5.6723449093779	5.67130373932217	4.73244428380776	5.67111812594841	5.65770535004128	5.59734073790928	5.65350393499862	5.60506013132218	5.66676514191552	5.48777875062911	5.66959619928596	5.67099388932132	5.67216096376589	5.64772669082528
ENSG00000258839	MC1R	2.46167213310029	2.32151165993327	3.14378157101991	1.5403531093878	2.5470207433578	2.33571147098587	2.59524073806323	3.43735809143051	2.81334945536696	2.53143336963285	3.90363926499964	1.68553265941867	2.67849992931932	1.22528875791916	2.95185191745358	0.924755215512538	3.08160995560132	3.86120830583129	1.60289161677622	5.04040310744819	3.6788731681549	3.01792466715355	2.71666855194126	3.10390155298012	2.87010147324149	2.30082745098106	5.55174366727507	4.71924871613447	3.31358279201049	3.03267184655682
