Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1919	0	1	1	
DEG.up	Adrenal_Gland	1549	0	1	1	
DEG.up	Bladder	843	1	0.483577243449627	1	ENSG00000119514
DEG.up	Blood	2296	1	0.841875798964701	1	ENSG00000187741
DEG.up	Blood_Vessel	2703	1	0.887706216505662	1	ENSG00000100592
DEG.up	Brain	3221	4	0.23376583713913	1	ENSG00000003249:ENSG00000186868:ENSG00000073969:ENSG00000204991
DEG.up	Breast	1978	0	1	1	
DEG.up	Cervix_Uteri	3029	2	0.694076532533514	1	ENSG00000120071:ENSG00000158805
DEG.up	Colon	1580	2	0.347089677835202	1	ENSG00000119514:ENSG00000204991
DEG.up	Esophagus	1264	2	0.255529551828456	1	ENSG00000100592:ENSG00000119514
DEG.up	Fallopian_Tube	490	0	1	1	
DEG.up	Heart	614	0	1	1	
DEG.up	Kidney	1363	0	1	1	
DEG.up	Liver	1536	1	0.704190774605702	1	ENSG00000108379
DEG.up	Lung	4262	0	1	1	
DEG.up	Muscle	1143	2	0.220591165331289	1	ENSG00000003249:ENSG00000186868
DEG.up	Nerve	5911	1	0.99371877690095	1	ENSG00000158805
DEG.up	Ovary	5714	6	0.271609243659863	1	ENSG00000221819:ENSG00000140995:ENSG00000141013:ENSG00000120071:ENSG00000258839:ENSG00000158805
DEG.up	Pancreas	747	0	1	1	
DEG.up	Pituitary	5188	9	0.0119183419340034	0.357550258020102	ENSG00000185324:ENSG00000177946:ENSG00000141013:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000158792:ENSG00000204991:ENSG00000075399
DEG.up	Prostate	3333	2	0.745452605419066	1	ENSG00000185324:ENSG00000258839
DEG.up	Salivary_Gland	1899	1	0.780226794153992	1	ENSG00000119514
DEG.up	Skin	3140	4	0.220038727102707	1	ENSG00000177946:ENSG00000100592:ENSG00000187741:ENSG00000108379
DEG.up	Small_Intestine	2786	3	0.366563958929345	1	ENSG00000187741:ENSG00000119514:ENSG00000204991
DEG.up	Spleen	4308	4	0.431494048467828	1	ENSG00000185324:ENSG00000187741:ENSG00000075399:ENSG00000158805
DEG.up	Stomach	1109	1	0.582379216459224	1	ENSG00000119514
DEG.up	Testis	12379	10	0.505556216592072	1	ENSG00000177946:ENSG00000187741:ENSG00000141013:ENSG00000120071:ENSG00000176681:ENSG00000258839:ENSG00000126856:ENSG00000204991:ENSG00000075399:ENSG00000108379
DEG.up	Thyroid	5722	9	0.0220865771170302	0.662597313510906	ENSG00000221819:ENSG00000185324:ENSG00000119514:ENSG00000141013:ENSG00000120071:ENSG00000258839:ENSG00000158792:ENSG00000204991:ENSG00000158805
DEG.up	Uterus	5589	1	0.991473744870293	1	ENSG00000120071
DEG.up	Vagina	2864	2	0.663026813753826	1	ENSG00000100592:ENSG00000120071
DEG.down	Adipose_Tissue	1601	5	0.00676897575210292	0.203069272563088	ENSG00000003249:ENSG00000187741:ENSG00000258839:ENSG00000204991:ENSG00000108379
DEG.down	Adrenal_Gland	3492	6	0.045653043704328	1	ENSG00000100592:ENSG00000187741:ENSG00000119514:ENSG00000186868:ENSG00000258839:ENSG00000204991
DEG.down	Bladder	105	0	1	1	
