Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Brain_Amygdala	1.11831463967e-09	4.36655280953e-09	0.398933233242
Brain_Cerebellum	1.03456695373e-09	4.97897043257e-09	0.417697514409
Brain_Hippocampus	6.51687825875e-10	4.25844641013e-09	0.439185663149
Brain_Putamen_(basal_ganglia)	-6.19092573644e-10	4.90820507047e-09	0.55018715634
Brain_Cortex	-1.64077541345e-09	5.17146619857e-09	0.624482415515
Brain_Substantia_nigra	-1.7973396958e-09	5.44760076398e-09	0.629274458628
Brain_Nucleus_accumbens_(basal_ganglia)	-1.65335962191e-09	4.25193557887e-09	0.651305963533
Brain_Spinal_cord_(cervical_c-1)	-2.21052333833e-09	4.80987261368e-09	0.677091296689
Brain_Caudate_(basal_ganglia)	-2.45526975477e-09	4.51519316348e-09	0.706703412194
Brain_Cerebellar_Hemisphere	-3.1214437038e-09	4.62519538617e-09	0.750123435541
Brain_Hypothalamus	-4.66356993138e-09	4.3928896349e-09	0.85579539044
Brain_Anterior_cingulate_cortex_(BA24)	-4.74542746563e-09	4.36376153505e-09	0.861583790764
Brain_Frontal_Cortex_(BA9)	-5.90533465372e-09	4.27793040491e-09	0.916271100046
