Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Brain_Amygdala	8.47812103006e-09	4.69126550825e-09	0.0353644540339	6
Brain_Substantia_nigra	5.75386165197e-09	4.98777816111e-09	0.124333712421	6
Brain_Frontal_Cortex_(BA9)	4.66707185543e-09	4.55132862705e-09	0.152580017022	6
Brain_Cerebellum	2.34837102415e-09	5.33137014667e-09	0.329794129157	6
Brain_Anterior_cingulate_cortex_(BA24)	2.10995133016e-09	4.81172264826e-09	0.33051111051	6
Brain_Cortex	8.7104490385e-10	4.42898786783e-09	0.422043259823	6
Brain_Caudate_(basal_ganglia)	8.63245938812e-10	4.75269302159e-09	0.427935370772	6
Brain_Cerebellar_Hemisphere	8.20754393245e-10	5.41133555869e-09	0.439722361587	6
Brain_Hypothalamus	-6.13865399261e-10	4.80448217085e-09	0.55083423324	6
Brain_Nucleus_accumbens_(basal_ganglia)	-1.16949347825e-09	5.32461792016e-09	0.586923822044	6
Brain_Anterior_cingulate_cortex_(BA24)	1.00427428056e-08	4.65863137905e-09	0.0155524493601	7
Brain_Cerebellum	1.01524653422e-08	5.90437349679e-09	0.042763299759	7
Brain_Amygdala	2.76668718674e-09	5.15893201482e-09	0.295878833518	7
Brain_Hypothalamus	1.92787778625e-09	5.0971563767e-09	0.352631303837	7
Brain_Cortex	4.18554814075e-10	4.77015143208e-09	0.46503985325	7
Brain_Caudate_(basal_ganglia)	-3.03016306628e-10	4.9582424227e-09	0.524365652	7
Brain_Putamen_(basal_ganglia)	-4.64457995017e-10	5.08123661601e-09	0.53641519677	7
Brain_Cerebellar_Hemisphere	-1.01751090565e-09	5.23736759814e-09	0.577021313398	7
Brain_Spinal_cord_(cervical_c-1)	-4.39411702568e-09	6.31189710624e-09	0.756837008857	7
Brain_Frontal_Cortex_(BA9)	-2.84618262666e-09	3.87120580993e-09	0.768896822211	7
Brain_Nucleus_accumbens_(basal_ganglia)	-4.74491373159e-09	5.65058423479e-09	0.799467556212	7
Brain_Hippocampus	-4.41915740598e-09	4.83484533881e-09	0.819647487503	7
Brain_Substantia_nigra	-1.00888339548e-08	5.48972277295e-09	0.966951661815	7
Brain_Amygdala	6.84012414975e-09	5.24846477187e-09	0.0962426825543	8
Brain_Hippocampus	2.32653299842e-09	5.05818813029e-09	0.322774680744	8
Brain_Putamen_(basal_ganglia)	1.34483454865e-09	5.70845370448e-09	0.406876780478	8
Brain_Substantia_nigra	3.31466311039e-10	5.20738046603e-09	0.474623194176	8
Brain_Hypothalamus	2.77987134933e-10	5.40507141532e-09	0.479491122081	8
Brain_Cerebellar_Hemisphere	-1.47826887194e-09	5.44854314457e-09	0.606925430373	8
Brain_Caudate_(basal_ganglia)	-1.59911056094e-09	4.97542767478e-09	0.626046975702	8
Brain_Cerebellum	-2.74400156638e-09	5.8464939902e-09	0.680587179613	8
Brain_Nucleus_accumbens_(basal_ganglia)	-3.66777833854e-09	5.01807784739e-09	0.767583852815	8
Brain_Spinal_cord_(cervical_c-1)	-4.82756650895e-09	5.43862569007e-09	0.812634011892	8
Brain_Anterior_cingulate_cortex_(BA24)	-6.18139576501e-09	4.80708282461e-09	0.900759854955	8
Brain_Frontal_Cortex_(BA9)	-7.89375556221e-09	4.32619278454e-09	0.965972508245	8
Brain_Cortex	-1.24015155967e-08	4.80414081766e-09	0.995080291201	8
Brain_Amygdala	1.11831463967e-09	4.36655280953e-09	0.398933233242	9
Brain_Cerebellum	1.03456695373e-09	4.97897043257e-09	0.417697514409	9
Brain_Hippocampus	6.51687825875e-10	4.25844641013e-09	0.439185663149	9
Brain_Putamen_(basal_ganglia)	-6.19092573644e-10	4.90820507047e-09	0.55018715634	9
Brain_Cortex	-1.64077541345e-09	5.17146619857e-09	0.624482415515	9
Brain_Substantia_nigra	-1.7973396958e-09	5.44760076398e-09	0.629274458628	9
Brain_Nucleus_accumbens_(basal_ganglia)	-1.65335962191e-09	4.25193557887e-09	0.651305963533	9
Brain_Spinal_cord_(cervical_c-1)	-2.21052333833e-09	4.80987261368e-09	0.677091296689	9
Brain_Caudate_(basal_ganglia)	-2.45526975477e-09	4.51519316348e-09	0.706703412194	9
