Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Brain_Cerebellum	8.5432539364e-09	4.96037207684e-09	0.0425075006294
Brain_Spinal_cord_(cervical_c-1)	7.35833681157e-09	4.5149716289e-09	0.0515757255672
Brain_Hippocampus	5.67870621946e-09	4.09926497202e-09	0.0829805836444
Brain_Substantia_nigra	6.07462053256e-09	4.57558582191e-09	0.0921525130033
Brain_Frontal_Cortex_(BA9)	3.90930695297e-09	4.06717366749e-09	0.168229539523
Brain_Anterior_cingulate_cortex_(BA24)	3.65982103501e-09	4.42001107142e-09	0.2038319271
Brain_Hypothalamus	3.71251965692e-09	4.62272824378e-09	0.210958056015
Brain_Cortex	2.29609047763e-09	4.11402012367e-09	0.28838341581
Brain_Amygdala	1.89968994706e-09	4.12325767331e-09	0.322497779341
Brain_Cerebellar_Hemisphere	1.55234776331e-10	5.15360726992e-09	0.487985046435
Brain_Putamen_(basal_ganglia)	-2.95019663169e-09	4.66784143731e-09	0.736315019613
Brain_Nucleus_accumbens_(basal_ganglia)	-4.45512024804e-09	4.45748012066e-09	0.841216608371
Brain_Caudate_(basal_ganglia)	-4.67485702886e-09	4.32179237155e-09	0.860305747725
