# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 13876
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13876    0.0006099     0.018018   0.00038333     0.055814
9_pcw        COVAR   13876   0.00086695     0.021024   0.00046874     0.032205
12_pcw       COVAR   13876   0.00078828     0.022018    0.0004619     0.043963
13_pcw       COVAR   13876   0.00079317     0.023165   0.00044137     0.036179
16_pcw       COVAR   13876   0.00097572     0.025603   0.00053992     0.035383
17_pcw       COVAR   13876     0.001059     0.026945   0.00058178     0.034372
19_pcw       COVAR   13876   0.00048664     0.015525   0.00041506      0.12052
21_pcw       COVAR   13876    0.0012476     0.031817   0.00059741     0.018392
24_pcw       COVAR   13876   0.00090961     0.026851   0.00052762      0.04237
26_pcw       COVAR   13876  -0.00058133    -0.012274   0.00085972      0.75053
37_pcw       COVAR   13876  -0.00013967   -0.0043151   0.00051075      0.60775
4_mos        COVAR   13876    -0.001817     -0.04855    0.0010559      0.95734
10_mos       COVAR   13876  -8.4844e-05   -0.0025406   0.00066862      0.55049
1_yrs        COVAR   13876  -0.00010417    -0.002409   0.00078379      0.55287
2_yrs        COVAR   13876   -0.0007073      -0.0152   0.00052276      0.91196
3_yrs        COVAR   13876    -0.001333    -0.033753    0.0006106      0.98547
4_yrs        COVAR   13876  -0.00016892   -0.0058229   0.00045186      0.64573
8_yrs        COVAR   13876  -0.00070475    -0.020745   0.00074617      0.82753
11_yrs       COVAR   13876   0.00013509    0.0035327   0.00071336       0.4249
13_yrs       COVAR   13876    -0.001322    -0.030169   0.00088657      0.93202
15_yrs       COVAR   13876    0.0002413    0.0055946   0.00076538      0.37628
18_yrs       COVAR   13876   -0.0014389    -0.031035   0.00075288      0.97199
19_yrs       COVAR   13876   -0.0003367   -0.0086316   0.00069267      0.68654
21_yrs       COVAR   13876   5.5599e-06   0.00013008   0.00074392      0.49702
23_yrs       COVAR   13876  -0.00096394    -0.021356   0.00088635      0.86159
30_yrs       COVAR   13876  -0.00071527    -0.020726   0.00057944      0.89146
36_yrs       COVAR   13876   1.2546e-05   0.00026552   0.00087114      0.49426
37_yrs       COVAR   13876    0.0002413    0.0051966   0.00083343      0.38609
40_yrs       COVAR   13876  -0.00013647   -0.0039001   0.00065112        0.583
