Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Fetal_Brain_Female__H3K4me3	5.63280275048e-07	1.48921779878e-07	7.76648205012e-05
Fetal_Brain_Male__H3K4me1	1.23935528962e-07	4.3727899204e-08	0.00229671338554
Artery-Coronary_ENTEX__H3K27ac	1.11639267726e-07	3.95812737334e-08	0.00239738984113
Artery-Tibial_ENTEX__H3K36me3	1.40799456816e-07	5.21879189229e-08	0.00348858448926
Fetal_Brain_Female__H3K36me3	1.85369674334e-07	6.88971117979e-08	0.0035669421805
Brain_Germinal_Matrix__H3K4me3	4.03251138663e-07	1.55247861783e-07	0.00469571239977
Brain_Hippocampus_Middle__H3K4me3	2.95477640641e-07	1.1480504032e-07	0.0050303788032
Fetal_Brain_Female__H3K4me1	1.74445160613e-07	6.90854566577e-08	0.00578387030654
Right_Atrium__H3K4me3	5.65832076201e-07	2.32483872829e-07	0.00746948555896
Fetal_Muscle_Trunk__DNase	2.19985794279e-07	9.22468376228e-08	0.00854532827987
Right_Atrium__H3K4me1	1.86968281837e-07	8.27124227285e-08	0.0118962986479
Fetal_Muscle_Trunk__H3K27ac	1.53140409483e-07	7.03652425231e-08	0.0147640114296
Right_Atrium__H3K27ac	1.52956540729e-07	7.17123279237e-08	0.0164657120502
Colon_Smooth_Muscle__H3K4me3	2.58798696328e-07	1.21995152928e-07	0.016944705217
Breast_Myoepithelial_Primary_Cells__H3K36me3	8.46349800266e-08	4.09479140438e-08	0.0193720921316
Brain_Germinal_Matrix__H3K36me3	1.75841010824e-07	8.5792351344e-08	0.0202011667607
Fetal_Muscle_Leg__H3K27ac	1.1413743536e-07	5.6754702158e-08	0.0221592582789
Ovary__H3K36me3	1.48095475126e-07	7.47862624244e-08	0.0238377378301
Brain_Angular_Gyrus__H3K4me3	2.94568294271e-07	1.51362488636e-07	0.0258206680041
Lung_ENTEX__H3K4me1	8.6687513035e-08	4.46118361847e-08	0.0259989867528
Artery-Coronary_ENTEX__H3K4me3	1.81627110108e-07	9.50725620326e-08	0.0280405355079
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K4me3	2.8098761105e-07	1.50629869921e-07	0.031061445851
Lung__H3K4me1	1.49882489742e-07	8.03981605028e-08	0.031143111194
Vagina_ENTEX__H3K27ac	7.85470798748e-08	4.29966813336e-08	0.0338636244205
Uterus_ENTEX__H3K27ac	7.04829963471e-08	3.94937809769e-08	0.037158189639
Stomach_Smooth_Muscle__H3K4me3	1.75861784831e-07	9.89710811005e-08	0.0377922883207
Cortex_derived_primary_cultured_neurospheres__H3K4me3	3.64090276304e-07	2.0853346187e-07	0.0404092875081
Skeletal_Muscle_Male__H3K4me3	2.43845039166e-07	1.42217239422e-07	0.043209706902
Fetal_Stomach__H3K4me1	7.69891267664e-08	4.54162832508e-08	0.0450199055262
Fetal_Muscle_Trunk__H3K36me3	1.01508590446e-07	6.0439669985e-08	0.0465270541023
Skeletal_Muscle_Female__H3K9ac	1.67546261788e-07	1.02023018846e-07	0.0502701590293
Skeletal_Muscle_Female__H3K27ac	7.37914319465e-08	4.53398473723e-08	0.0518135311217
Right_Ventricle__H3K4me1	1.00265380897e-07	6.17031120542e-08	0.0520850369941
Liver__H3K27ac	5.80159423401e-08	3.63689923266e-08	0.0553333728192
Gastric__DNase	2.52604732554e-07	1.58738858409e-07	0.0557684968384
Fetal_Muscle_Leg__H3K36me3	8.64228030148e-08	5.48897247939e-08	0.0576881995696
Esoph-GJ_ENTEX__H3K4me1	7.76700047467e-08	5.04750309245e-08	0.0619289183498
Ovary__H3K4me1	8.79973990545e-08	5.79251696171e-08	0.0643615514812
Psoas_Muscle__H3K4me3	3.82777165957e-07	2.52032734664e-07	0.0644114939082
Foreskin_Fibroblast_Primary_Cells_skin01__H3K4me3	1.14566923934e-07	7.62245840584e-08	0.066417197719
Fetal_Lung__H3K4me1	6.1230582975e-08	4.07583680662e-08	0.066512083422
Fetal_Muscle_Leg__H3K4me3	3.56407290398e-07	2.38937448655e-07	0.067897522557
Stomach_Smooth_Muscle__H3K4me1	7.44310413258e-08	5.03163859628e-08	0.0695353552229
Ganglion_Eminence_derived_primary_cultured_neurospheres__H3K36me3	8.70477193098e-08	5.94139280296e-08	0.0714459612454
Psoas_Muscle__H3K27ac	1.11199270665e-07	7.67551793885e-08	0.0737033336095
Left_Ventricle__H3K36me3	9.20395289326e-08	6.49750509237e-08	0.0783092478459
Heart-Atrial_ENTEX__H3K27ac	4.73844922009e-08	3.38697322368e-08	0.0809032298517
Placenta_Amnion__H3K4me1	6.28925869269e-08	4.5363937399e-08	0.0828123171057
Fetal_Stomach__H3K4me3	3.04933452336e-07	2.24152381354e-07	0.0868541212982
Skeletal_Muscle_Female__H3K4me3	1.60178514253e-07	1.18054336781e-07	0.0874191664576
Fetal_Muscle_Leg__DNase	1.05763251563e-07	7.91591217617e-08	0.0907608774778
Brain_Anterior_Caudate__H3K4me3	1.64785400453e-07	1.23536279718e-07	0.0911178422688
Left_Ventricle__H3K4me3	3.71407266741e-07	2.78625243701e-07	0.0912660097353
Fetal_Brain_Female__DNase	1.26667337116e-07	9.57912337621e-08	0.0930296387638
Heart-LV_ENTEX__H3K36me3	8.2604400127e-08	6.37818469102e-08	0.0976414338635
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K27ac	1.0285724537e-07	8.05528297188e-08	0.100820229942
Adipose_Nuclei__H3K36me3	7.65727425095e-08	6.05499435893e-08	0.103003574303
Right_Atrium__H3K36me3	1.43490414438e-07	1.14084803587e-07	0.10424069101
Foreskin_Keratinocyte_Primary_Cells_skin02__DNase	1.01729438681e-07	8.09625192806e-08	0.104467298661
Liver__H3K4me1	4.27026208469e-08	3.4631376323e-08	0.108776388402
Fetal_Brain_Male__DNase	1.21674706767e-07	9.88466672484e-08	0.109171914634
Fetal_Heart__DNase	8.2797541279e-08	6.75267667215e-08	0.110072241277
Fetal_Lung__H3K36me3	6.13170722414e-08	5.01451520227e-08	0.110704203568
Fetal_Heart__H3K36me3	1.83727743169e-07	1.50301470493e-07	0.110779173316
Duodenum_Smooth_Muscle__H3K4me3	8.97710510596e-08	7.36330073525e-08	0.111390102085
Testis_ENTEX__H3K4me3	1.11921909603e-07	9.19810484115e-08	0.111841463539
Artery-Tibial_ENTEX__H3K4me1	1.57313996297e-07	1.29523426288e-07	0.11226694149
Brain_Cingulate_Gyrus__H3K4me3	1.82763114066e-07	1.51622032937e-07	0.114027113078
