Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Placenta__H3K36me3	1.4325544895e-07	8.05400634009e-08	0.037645662745	1
Brain_Substantia_Nigra__H3K27ac	1.0192076788e-07	5.747077094e-08	0.0380781954411	1
Brain_Anterior_Caudate__H3K27ac	1.16756504919e-07	6.62153725863e-08	0.0389263039315	1
Aorta__H3K27ac	1.49949154332e-07	8.61436750359e-08	0.0408692504302	1
Brain_Substantia_Nigra__H3K4me3	3.68424068414e-07	2.12335937826e-07	0.041361554379	1
Fetal_Muscle_Trunk__H3K27ac	1.62320376652e-07	9.43954537148e-08	0.0427545590099	1
Brain_Dorsolateral_Prefrontal_Cortex__H3K36me3	2.01665307731e-07	1.17563556413e-07	0.0431384644724	1
Brain_Dorsolateral_Prefrontal_Cortex__H3K4me3	4.56440973425e-07	2.6747738983e-07	0.0439607098213	1
Fetal_Muscle_Leg__H3K27ac	1.22925150548e-07	7.30562136533e-08	0.0462252610198	1
Fetal_Muscle_Leg__DNase	1.86736774564e-07	1.12080705749e-07	0.0478475393108	1
Fetal_Stomach__H3K4me3	4.30424552295e-07	2.73947695931e-07	0.0580689763144	1
Artery-Tibial_ENTEX__H3K4me1	2.62371033322e-07	1.73223648634e-07	0.0649321156205	1
Heart-Atrial_ENTEX__H3K4me3	3.57139927963e-07	2.37786123803e-07	0.0665566081928	1
Fetal_Adrenal_Gland__H3K36me3	8.32518895605e-08	5.61491135914e-08	0.0690780168591	1
Osteoblast_Primary_Cells__H3K4me1	8.65183268706e-08	5.84347776267e-08	0.069357065128	1
Brain_Hippocampus_Middle__H3K4me1	7.50509660336e-08	5.0770083159e-08	0.0696701989107	1
Brain_Hippocampus_Middle__H3K36me3	1.43938957665e-07	9.79563361576e-08	0.0708595108066	1
Brain_Anterior_Caudate__H3K4me1	1.06508344247e-07	7.39108247797e-08	0.0747869028468	1
Esoph-GJ_ENTEX__H3K4me1	9.37816610931e-08	6.52157620128e-08	0.0752139918	1
Thymus__H3K4me1	1.13783707818e-07	8.07005246619e-08	0.0792772180203	1
Brain_Dorsolateral_Prefrontal_Cortex__H3K4me1	1.34588452272e-07	9.59504406985e-08	0.080355072199	1
Foreskin_Melanocyte_Primary_Cells_skin01__H3K4me1	1.96200886454e-07	1.48098601354e-07	0.0926189049183	1
Testis_ENTEX__H3K4me3	1.60903199273e-07	1.22011689153e-07	0.0936259630016	1
Brain_Substantia_Nigra__H3K36me3	2.33720980367e-07	1.79826772484e-07	0.0968517868128	1
Right_Atrium__H3K4me1	1.40571640034e-07	1.10310723797e-07	0.101274247351	1
Brain_Anterior_Caudate__H3K36me3	1.29395139756e-07	1.02008020255e-07	0.102313283384	1
Thyroid_gland_ENTEX__H3K36me3	1.58868241979e-07	1.28989481974e-07	0.109042322698	1
Osteoblast_Primary_Cells__H3K27ac	8.64491911555e-08	7.04135530597e-08	0.10977321134	1
Foreskin_Melanocyte_Primary_Cells_skin03__H3K4me1	5.73171469571e-08	4.7095235562e-08	0.111793038578	1
Fetal_Heart__H3K9ac	1.00186041672e-07	8.25801516687e-08	0.112527141081	1
Placenta_Amnion__H3K36me3	9.32514865811e-08	7.8687944628e-08	0.117992966312	1
Fetal_Muscle_Trunk__H3K4me3	3.37424040884e-07	2.88205094844e-07	0.120844111724	1
Colon_Smooth_Muscle__H3K4me1	7.35990963132e-08	6.33625065607e-08	0.122707942561	1
Foreskin_Melanocyte_Primary_Cells_skin01__H3K4me3	3.28472404319e-07	2.83571748342e-07	0.12336272505	1
Brain_Cingulate_Gyrus__H3K36me3	1.34134317701e-07	1.16486429476e-07	0.124762954966	1
Osteoblast_Primary_Cells__H3K4me3	2.55919370454e-07	2.2283840144e-07	0.125390858201	1
Fetal_Muscle_Trunk__DNase	1.39756060663e-07	1.22318415969e-07	0.126610777222	1
Right_Ventricle__H3K4me3	2.72604194718e-07	2.42030946114e-07	0.130015135459	1
Right_Atrium__H3K27ac	1.14001235528e-07	1.02325760002e-07	0.132617921499	1
Foreskin_Melanocyte_Primary_Cells_skin03__H3K4me3	2.48242304384e-07	2.23943019396e-07	0.133821555434	1
Liver__H3K4me1	5.55690658578e-08	5.08351209606e-08	0.137169787454	1
Brain_Substantia_Nigra__H3K9ac	2.00268149658e-07	1.8648353236e-07	0.14142956424	1
Placenta__DNase	1.02811067443e-07	9.61657180308e-08	0.142511607048	1
Brain_Inferior_Temporal_Lobe__H3K36me3	1.13734724506e-07	1.07092276077e-07	0.144112062	1
Stomach_Smooth_Muscle__H3K4me1	7.43738532883e-08	7.31882638686e-08	0.154767274843	1
Artery-Tibial_ENTEX__H3K36me3	6.99966387576e-08	7.05156801863e-08	0.160442871219	1
Brain_Substantia_Nigra__H3K4me1	6.02121398186e-08	6.13196003464e-08	0.163064818761	1
Rectal_Smooth_Muscle__H3K4me1	8.24775358279e-08	8.43817242188e-08	0.16417725789	1
Rectal_Smooth_Muscle__H3K27ac	6.59595378262e-08	6.82731754567e-08	0.166994056544	1
Foreskin_Melanocyte_Primary_Cells_skin01__DNase	9.45107252424e-08	9.8122511345e-08	0.167725826563	1
Colon_Smooth_Muscle__H3K4me3	1.46498965185e-07	1.54130764274e-07	0.170932959606	1
Brain_Angular_Gyrus__H3K36me3	1.08088611041e-07	1.14229208069e-07	0.172012279093	1
Fetal_Lung__DNase	9.78547186846e-08	1.04705018554e-07	0.175003619975	1
Pancreatic_Islets__H3K4me1	6.47409222478e-08	6.97573366352e-08	0.176681054069	1
Duodenum_Smooth_Muscle__H3K27ac	1.12712957428e-07	1.22262392076e-07	0.178291952166	1
Osteoblast_Primary_Cells__H3K36me3	4.19434510314e-08	4.59586475809e-08	0.180717380562	1
Small_Intestine__H3K4me1	1.14764775303e-07	1.27516548005e-07	0.184060371368	1
Left_Ventricle__H3K4me3	2.30661948067e-07	2.57380609656e-07	0.185075627585	1
Ovary__H3K4me1	7.62655309654e-08	8.61333640874e-08	0.187960919358	1
Adipose_Nuclei__H3K27ac	4.92314583574e-08	5.62132453152e-08	0.190569877805	1
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K27ac	1.15134701253e-07	1.32022638206e-07	0.191581543875	1
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K9ac	2.01369179789e-07	2.31491914409e-07	0.192184181565	1
Fetal_Muscle_Leg__H3K4me1	5.30282068488e-08	6.12319332173e-08	0.19323902368	1
Rectal_Smooth_Muscle__H3K4me3	1.74176260589e-07	2.0121617559e-07	0.193349953622	1
Esoph-Mucosa_ENTEX__H3K36me3	9.03732285238e-08	1.05311963285e-07	0.195405430718	1
Esoph-Muscularis_ENTEX__H3K27ac	6.62575437134e-08	7.7229043905e-08	0.195464021145	1
Stomach_Smooth_Muscle__H3K27ac	5.20838875333e-08	6.14430266081e-08	0.198308726028	1
Stomach_Smooth_Muscle__H3K4me3	1.11433862656e-07	1.35445005304e-07	0.205332469183	1
Fetal_Heart__H3K4me3	1.01984863719e-07	1.25359341426e-07	0.207954203826	1
NHLF_Lung_Fibroblast_Primary_Cells__H3K4me3	2.55567944173e-07	3.17221526754e-07	0.210223778807	1
Adrenal_gland_ENTEX__H3K36me3	4.62297306753e-08	5.78268032246e-08	0.212014298701	1
Colonic_Mucosa__H3K36me3	8.66704247252e-08	1.10209750371e-07	0.215812667197	1
Thymus__H3K36me3	9.91784492728e-08	1.26967708174e-07	0.217362641103	1
